dataset,index,method,view,fraction,recall,budget,gold,ceiling
vt_h4_c1,21,DT_body_forward,density,0.05,0.34,17,50,0.34
vt_h4_c1,21,DT_body_forward,density,0.1,0.58,34,50,0.68
vt_h4_c1,21,DT_body_forward,density,0.2,1.0,67,50,1.0
vt_h4_c1,21,DT_body_reverse,raw,0.05,0.3,17,50,0.34
vt_h4_c1,21,DT_body_reverse,raw,0.1,0.54,34,50,0.68
vt_h4_c1,21,DT_body_reverse,raw,0.2,0.8,67,50,1.0
vt_h4_c1,21,DT_body_reverse,density,0.05,0.24,17,50,0.34
vt_h4_c1,21,DT_body_reverse,density,0.1,0.52,34,50,0.68
vt_h4_c1,21,DT_body_reverse,density,0.2,1.0,67,50,1.0
vt_h4_c1,21,DT_full_forward,raw,0.05,0.34,17,50,0.34
vt_h4_c1,21,DT_full_forward,raw,0.1,0.68,34,50,0.68
vt_h4_c1,21,DT_full_forward,raw,0.2,1.0,67,50,1.0
vt_h4_c1,21,DT_full_forward,density,0.05,0.34,17,50,0.34
vt_h4_c1,21,DT_full_forward,density,0.1,0.68,34,50,0.68
vt_h4_c1,21,DT_full_forward,density,0.2,1.0,67,50,1.0
vt_h4_c1,21,DT_full_reverse,raw,0.05,0.34,17,50,0.34
vt_h4_c1,21,DT_full_reverse,raw,0.1,0.68,34,50,0.68
vt_h4_c1,21,DT_full_reverse,raw,0.2,1.0,67,50,1.0
vt_h4_c1,21,DT_full_reverse,density,0.05,0.34,17,50,0.34
vt_h4_c1,21,DT_full_reverse,density,0.1,0.68,34,50,0.68
vt_h4_c1,21,DT_full_reverse,density,0.2,1.0,67,50,1.0
vt_h4_c1,21,DT_body_symmetric,raw,0.05,0.32,17,50,0.34
vt_h4_c1,21,DT_body_symmetric,raw,0.1,0.6,34,50,0.68
vt_h4_c1,21,DT_body_symmetric,raw,0.2,0.88,67,50,1.0
vt_h4_c1,21,DT_body_symmetric,density,0.05,0.34,17,50,0.34
vt_h4_c1,21,DT_body_symmetric,density,0.1,0.58,34,50,0.68
vt_h4_c1,21,DT_body_symmetric,density,0.2,1.0,67,50,1.0
vt_h4_c1,21,DT_full_symmetric,raw,0.05,0.34,17,50,0.34
vt_h4_c1,21,DT_full_symmetric,raw,0.1,0.68,34,50,0.68
vt_h4_c1,21,DT_full_symmetric,raw,0.2,1.0,67,50,1.0
vt_h4_c1,21,DT_full_symmetric,density,0.05,0.34,17,50,0.34
vt_h4_c1,21,DT_full_symmetric,density,0.1,0.68,34,50,0.68
vt_h4_c1,21,DT_full_symmetric,density,0.2,1.0,67,50,1.0
vt_h4_c1,21,FT_K1,raw,0.05,0.34,17,50,0.34
vt_h4_c1,21,FT_K1,raw,0.1,0.68,34,50,0.68
vt_h4_c1,21,FT_K1,raw,0.2,1.0,67,50,1.0
vt_h4_c1,21,FT_K1,density,0.05,0.34,17,50,0.34
vt_h4_c1,21,FT_K1,density,0.1,0.68,34,50,0.68
vt_h4_c1,21,FT_K1,density,0.2,1.0,67,50,1.0
vt_h4_c1,21,FT_K3,raw,0.05,0.34,17,50,0.34
vt_h4_c1,21,FT_K3,raw,0.1,0.68,34,50,0.68
vt_h4_c1,21,FT_K3,raw,0.2,1.0,67,50,1.0
vt_h4_c1,21,FT_K3,density,0.05,0.34,17,50,0.34
vt_h4_c1,21,FT_K3,density,0.1,0.68,34,50,0.68
vt_h4_c1,21,FT_K3,density,0.2,1.0,67,50,1.0
vt_h4_c1,25,DT_body_forward,raw,0.05,0.3076923076923077,17,52,0.3269230769230769
vt_h4_c1,25,DT_body_forward,raw,0.1,0.6153846153846154,34,52,0.6538461538461539
vt_h4_c1,25,DT_body_forward,raw,0.2,0.9230769230769231,68,52,1.0
vt_h4_c1,25,DT_body_forward,density,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,DT_body_forward,density,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,DT_body_forward,density,0.2,1.0,68,52,1.0
vt_h4_c1,25,DT_body_reverse,raw,0.05,0.2692307692307692,17,52,0.3269230769230769
vt_h4_c1,25,DT_body_reverse,raw,0.1,0.5192307692307693,34,52,0.6538461538461539
vt_h4_c1,25,DT_body_reverse,raw,0.2,0.8653846153846154,68,52,1.0
vt_h4_c1,25,DT_body_reverse,density,0.05,0.23076923076923078,17,52,0.3269230769230769
vt_h4_c1,25,DT_body_reverse,density,0.1,0.5,34,52,0.6538461538461539
vt_h4_c1,25,DT_body_reverse,density,0.2,0.9423076923076923,68,52,1.0
vt_h4_c1,25,DT_full_forward,raw,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,DT_full_forward,raw,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,DT_full_forward,raw,0.2,1.0,68,52,1.0
vt_h4_c1,25,DT_full_forward,density,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,DT_full_forward,density,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,DT_full_forward,density,0.2,1.0,68,52,1.0
vt_h4_c1,25,DT_full_reverse,raw,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,DT_full_reverse,raw,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,DT_full_reverse,raw,0.2,0.9615384615384616,68,52,1.0
vt_h4_c1,25,DT_full_reverse,density,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,DT_full_reverse,density,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,DT_full_reverse,density,0.2,1.0,68,52,1.0
vt_h4_c1,25,DT_body_symmetric,raw,0.05,0.3076923076923077,17,52,0.3269230769230769
vt_h4_c1,25,DT_body_symmetric,raw,0.1,0.5769230769230769,34,52,0.6538461538461539
vt_h4_c1,25,DT_body_symmetric,raw,0.2,0.9038461538461539,68,52,1.0
vt_h4_c1,25,DT_body_symmetric,density,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,DT_body_symmetric,density,0.1,0.5576923076923077,34,52,0.6538461538461539
vt_h4_c1,25,DT_body_symmetric,density,0.2,1.0,68,52,1.0
vt_h4_c1,25,DT_full_symmetric,raw,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,DT_full_symmetric,raw,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,DT_full_symmetric,raw,0.2,1.0,68,52,1.0
vt_h4_c1,25,DT_full_symmetric,density,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,DT_full_symmetric,density,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,DT_full_symmetric,density,0.2,1.0,68,52,1.0
vt_h4_c1,25,FT_K1,raw,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,FT_K1,raw,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,FT_K1,raw,0.2,1.0,68,52,1.0
vt_h4_c1,25,FT_K1,density,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,FT_K1,density,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,FT_K1,density,0.2,1.0,68,52,1.0
vt_h4_c1,25,FT_K3,raw,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,FT_K3,raw,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,FT_K3,raw,0.2,1.0,68,52,1.0
vt_h4_c1,25,FT_K3,density,0.05,0.3269230769230769,17,52,0.3269230769230769
vt_h4_c1,25,FT_K3,density,0.1,0.6538461538461539,34,52,0.6538461538461539
vt_h4_c1,25,FT_K3,density,0.2,1.0,68,52,1.0
vt_h4_c1,37,DT_body_forward,raw,0.05,0.34782608695652173,17,46,0.3695652173913043
vt_h4_c1,37,DT_body_forward,raw,0.1,0.717391304347826,34,46,0.7391304347826086
vt_h4_c1,37,DT_body_forward,raw,0.2,0.8478260869565217,67,46,1.0
vt_h4_c1,37,DT_body_forward,density,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,DT_body_forward,density,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,DT_body_forward,density,0.2,1.0,67,46,1.0
vt_h4_c1,37,DT_body_reverse,raw,0.05,0.34782608695652173,17,46,0.3695652173913043
vt_h4_c1,37,DT_body_reverse,raw,0.1,0.6086956521739131,34,46,0.7391304347826086
vt_h4_c1,37,DT_body_reverse,raw,0.2,0.8478260869565217,67,46,1.0
vt_h4_c1,37,DT_body_reverse,density,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,DT_body_reverse,density,0.1,0.6304347826086957,34,46,0.7391304347826086
vt_h4_c1,37,DT_body_reverse,density,0.2,1.0,67,46,1.0
vt_h4_c1,37,DT_full_forward,raw,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,DT_full_forward,raw,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,DT_full_forward,raw,0.2,1.0,67,46,1.0
vt_h4_c1,37,DT_full_forward,density,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,DT_full_forward,density,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,DT_full_forward,density,0.2,1.0,67,46,1.0
vt_h4_c1,37,DT_full_reverse,raw,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,DT_full_reverse,raw,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,DT_full_reverse,raw,0.2,1.0,67,46,1.0
vt_h4_c1,37,DT_full_reverse,density,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,DT_full_reverse,density,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,DT_full_reverse,density,0.2,1.0,67,46,1.0
vt_h4_c1,37,DT_body_symmetric,raw,0.05,0.34782608695652173,17,46,0.3695652173913043
vt_h4_c1,37,DT_body_symmetric,raw,0.1,0.6739130434782609,34,46,0.7391304347826086
vt_h4_c1,37,DT_body_symmetric,raw,0.2,0.8913043478260869,67,46,1.0
vt_h4_c1,37,DT_body_symmetric,density,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,DT_body_symmetric,density,0.1,0.6304347826086957,34,46,0.7391304347826086
vt_h4_c1,37,DT_body_symmetric,density,0.2,1.0,67,46,1.0
vt_h4_c1,37,DT_full_symmetric,raw,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,DT_full_symmetric,raw,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,DT_full_symmetric,raw,0.2,1.0,67,46,1.0
vt_h4_c1,37,DT_full_symmetric,density,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,DT_full_symmetric,density,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,DT_full_symmetric,density,0.2,1.0,67,46,1.0
vt_h4_c1,37,FT_K1,raw,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,FT_K1,raw,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,FT_K1,raw,0.2,1.0,67,46,1.0
vt_h4_c1,37,FT_K1,density,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,FT_K1,density,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,FT_K1,density,0.2,1.0,67,46,1.0
vt_h4_c1,37,FT_K3,raw,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,FT_K3,raw,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,FT_K3,raw,0.2,1.0,67,46,1.0
vt_h4_c1,37,FT_K3,density,0.05,0.3695652173913043,17,46,0.3695652173913043
vt_h4_c1,37,FT_K3,density,0.1,0.7391304347826086,34,46,0.7391304347826086
vt_h4_c1,37,FT_K3,density,0.2,1.0,67,46,1.0
vt_h4_c1,55,DT_body_forward,raw,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_body_forward,raw,0.1,0.6938775510204082,34,49,0.6938775510204082
vt_h4_c1,55,DT_body_forward,raw,0.2,0.8571428571428571,67,49,1.0
vt_h4_c1,55,DT_body_forward,density,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_body_forward,density,0.1,0.6938775510204082,34,49,0.6938775510204082
vt_h4_c1,55,DT_body_forward,density,0.2,1.0,67,49,1.0
vt_h4_c1,55,DT_body_reverse,raw,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_body_reverse,raw,0.1,0.673469387755102,34,49,0.6938775510204082
vt_h4_c1,55,DT_body_reverse,raw,0.2,0.8979591836734694,67,49,1.0
vt_h4_c1,55,DT_body_reverse,density,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_body_reverse,density,0.1,0.6938775510204082,34,49,0.6938775510204082
vt_h4_c1,55,DT_body_reverse,density,0.2,1.0,67,49,1.0
vt_h4_c1,55,DT_full_forward,raw,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_full_forward,raw,0.1,0.6938775510204082,34,49,0.6938775510204082
vt_h4_c1,55,DT_full_forward,raw,0.2,0.9591836734693877,67,49,1.0
vt_h4_c1,55,DT_full_forward,density,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_full_forward,density,0.1,0.6938775510204082,34,49,0.6938775510204082
vt_h4_c1,55,DT_full_forward,density,0.2,1.0,67,49,1.0
vt_h4_c1,55,DT_full_reverse,raw,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_full_reverse,raw,0.1,0.6938775510204082,34,49,0.6938775510204082
vt_h4_c1,55,DT_full_reverse,raw,0.2,1.0,67,49,1.0
vt_h4_c1,55,DT_full_reverse,density,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_full_reverse,density,0.1,0.6938775510204082,34,49,0.6938775510204082
vt_h4_c1,55,DT_full_reverse,density,0.2,1.0,67,49,1.0
vt_h4_c1,55,DT_body_symmetric,raw,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_body_symmetric,raw,0.1,0.6938775510204082,34,49,0.6938775510204082
vt_h4_c1,55,DT_body_symmetric,raw,0.2,0.8775510204081632,67,49,1.0
vt_h4_c1,55,DT_body_symmetric,density,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_body_symmetric,density,0.1,0.6938775510204082,34,49,0.6938775510204082
vt_h4_c1,55,DT_body_symmetric,density,0.2,1.0,67,49,1.0
vt_h4_c1,55,DT_full_symmetric,raw,0.05,0.3469387755102041,17,49,0.3469387755102041
vt_h4_c1,55,DT_full_symmetric,raw,0.1,0.6938775510204082,34,49,0.6938775510204082
