dataset,method,fraction,cases,recall,precision,ceiling,ceiling_adjusted_recall,budget,gold_density,random_expected_recall,recall_tie_low,recall_tie_high,at_ceiling_cases,full_recall_cases
vt_h10_c1,Perturbation,0.4,100,0.5306812526879091,0.41131607960384836,1.0,0.5306812526879091,132.72,0.3108751996836609,0.40111357354759164,0.46565274759901876,0.5767528616387799,0,0
vt_h10_c1,REAGENT,0.1,100,0.11165244136430846,0.3427629233511587,0.3260639836955653,0.3427629233511587,33.53,0.3108751996836609,0.10133292651112605,0.07073325732417357,0.17277816308651414,0,0
vt_h10_c1,REAGENT,0.2,100,0.2619383820540623,0.4049454271218977,0.6471371001796151,0.4049454271218977,66.54,0.3108751996836609,0.20110068207540344,0.17912316853827812,0.3397477590966653,0,0
vt_h10_c1,REAGENT,0.3,100,0.42477821225184575,0.4384528110630892,0.9687020885665012,0.43871840526413886,99.67,0.3108751996836609,0.3012267998826448,0.3430444807261206,0.45214540115889185,0,0
vt_h10_c1,REAGENT,0.4,100,0.5344605376566819,0.4142025297652366,1.0,0.5344605376566819,132.72,0.3108751996836609,0.40111357354759164,0.4829708971566264,0.5680032083570097,0,0
vt_h10_c1,CLP,0.1,100,0.1311516581117102,0.4023529411764706,0.3260639836955653,0.4023529411764706,33.53,0.3108751996836609,0.10133292651112605,0.1037155218640072,0.1851887006646463,0,0
vt_h10_c1,CLP,0.2,100,0.2744771404855014,0.42420403535592294,0.6471371001796151,0.42420403535592294,66.54,0.3108751996836609,0.20110068207540344,0.19111670854569385,0.36162397921979583,0,0
vt_h10_c1,CLP,0.3,100,0.44037897390166514,0.45452713762892477,0.9687020885665012,0.45481479562917243,99.67,0.3108751996836609,0.3012267998826448,0.3618126584650788,0.4941409611108579,0,0
vt_h10_c1,CLP,0.4,100,0.537003746698805,0.41622251489889095,1.0,0.537003746698805,132.72,0.3108751996836609,0.40111357354759164,0.5292793700540191,0.5619169617091571,0,0
vt_h10_c1,IFR,0.1,100,0.3260639836955653,1.0,0.3260639836955653,1.0,33.53,0.3108751996836609,0.10133292651112605,0.3260639836955653,0.3260639836955653,100,0
vt_h10_c1,IFR,0.2,100,0.6467466983372332,0.9993984622342831,0.6471371001796151,0.9993984622342831,66.54,0.3108751996836609,0.20110068207540344,0.6467466983372332,0.6467466983372332,96,0
vt_h10_c1,IFR,0.3,100,0.8265564433117831,0.8529219759460629,0.9687020885665012,0.8534373130306663,99.67,0.3108751996836609,0.3012267998826448,0.8265564433117831,0.8265564433117831,0,0
vt_h10_c1,IFR,0.4,100,0.9494182977017307,0.7357495240178646,1.0,0.9494182977017307,132.72,0.3108751996836609,0.40111357354759164,0.9494182977017307,0.9494182977017307,3,3
vt_h10_c1,AttnLRP,0.1,100,0.3260639836955653,1.0,0.3260639836955653,1.0,33.53,0.3108751996836609,0.10133292651112605,0.3260639836955653,0.3260639836955653,100,0
vt_h10_c1,AttnLRP,0.2,100,0.6186065560692664,0.9559573451131835,0.6471371001796151,0.9559573451131835,66.54,0.3108751996836609,0.20110068207540344,0.6186065560692664,0.6186065560692664,0,0
vt_h10_c1,AttnLRP,0.3,100,0.7732976443784798,0.7977525077110128,0.9687020885665012,0.7982526486261198,99.67,0.3108751996836609,0.3012267998826448,0.7732976443784798,0.7732976443784798,0,0
vt_h10_c1,AttnLRP,0.4,100,0.909045422093756,0.7043783272748588,1.0,0.909045422093756,132.72,0.3108751996836609,0.40111357354759164,0.909045422093756,0.909045422093756,0,0
vt_h10_c1,FT_K1,0.1,100,0.3260639836955653,1.0,0.3260639836955653,1.0,33.53,0.3108751996836609,0.10133292651112605,0.3260639836955653,0.3260639836955653,100,0
vt_h10_c1,FT_K1,0.2,100,0.6465419318152398,0.999090909090909,0.6471371001796151,0.999090909090909,66.54,0.3108751996836609,0.20110068207540344,0.6465419318152398,0.6465419318152398,95,0
vt_h10_c1,FT_K1,0.3,100,0.8381533678620451,0.8647945067670464,0.9687020885665012,0.8653312394465186,99.67,0.3108751996836609,0.3012267998826448,0.8381533678620451,0.8381533678620451,0,0
vt_h10_c1,FT_K1,0.4,100,0.9888951769207194,0.766393959789359,1.0,0.9888951769207194,132.72,0.3108751996836609,0.40111357354759164,0.9888951769207194,0.9888951769207194,37,37
