dataset,index,method,target_mode,aggregation,view,budget_unit,fraction,eligible,gold,budget,gold_density,ceiling,random_expected_recall,recall,precision,ceiling_adjusted_recall,cutoff,cutoff_tie_size,recall_tie_low,recall_tie_high
vt_h6_c1,33,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,64,33,0.19393939393939394,0.515625,0.1,0.515625,1.0,1.0,0.2240590900182724,1,0.515625,0.515625
vt_h6_c1,33,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.2,330,64,66,0.19393939393939394,1.0,0.2,0.796875,0.7727272727272727,0.796875,0.06924957036972046,1,0.796875,0.796875
vt_h6_c1,33,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.3,330,64,99,0.19393939393939394,1.0,0.3,1.0,0.6464646464646465,1.0,0.04237644001841545,1,1.0,1.0
vt_h6_c1,33,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.4,330,64,132,0.19393939393939394,1.0,0.4,1.0,0.48484848484848486,1.0,0.02167169190943241,1,1.0,1.0
vt_h6_c1,33,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,64,33,0.19393939393939394,0.515625,0.1,0.140625,0.2727272727272727,0.2727272727272727,33.3045768737793,39,0.046875,0.140625
vt_h6_c1,33,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.2,330,64,66,0.19393939393939394,1.0,0.2,0.296875,0.2878787878787879,0.296875,33.03429412841797,40,0.234375,0.4375
vt_h6_c1,33,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.3,330,64,99,0.19393939393939394,1.0,0.3,0.578125,0.37373737373737376,0.578125,11.321239471435547,42,0.4375,0.578125
vt_h6_c1,33,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.4,330,64,132,0.19393939393939394,1.0,0.4,0.578125,0.2803030303030303,0.578125,10.175259590148926,42,0.578125,0.71875
vt_h6_c1,33,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,64,33,0.19393939393939394,0.515625,0.1,0.21875,0.42424242424242425,0.42424242424242425,32.97056579589844,40,0.1875,0.296875
vt_h6_c1,33,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.2,330,64,66,0.19393939393939394,1.0,0.2,0.4375,0.42424242424242425,0.4375,23.9919490814209,39,0.296875,0.4375
vt_h6_c1,33,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.3,330,64,99,0.19393939393939394,1.0,0.3,0.4375,0.2828282828282828,0.4375,22.081052780151367,42,0.4375,0.578125
vt_h6_c1,33,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.4,330,64,132,0.19393939393939394,1.0,0.4,0.71875,0.3484848484848485,0.71875,14.88961410522461,42,0.578125,0.71875
vt_h6_c1,33,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,64,33,0.19393939393939394,0.515625,0.1,0.21875,0.42424242424242425,0.42424242424242425,68325432.0,40,0.1875,0.296875
vt_h6_c1,33,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.2,330,64,66,0.19393939393939394,1.0,0.2,0.4375,0.42424242424242425,0.4375,40936756.0,42,0.296875,0.4375
