dataset,method,aggregation,view,budget_unit,fraction,n,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences,empty_selection,ceiling,budget,recall_tie_low,recall_tie_high
hotpotqa_long,IFR,signed_sum,native_sentence,all_body_tokens,0.2,48,0.4196511243386243,0.9184027777777777,0.5536630036630037,0.0,0.7708333333333334,0.9289326173133605,1.0,237.33333333333334,23.1875,6.25,0.0,,,,
hotpotqa_long,IFR,signed_sum,native_sentence,sentences,2,48,0.8229166666666666,0.671875,0.7277777777777779,0.3333333333333333,0.3333333333333333,0.6800948555820266,0.829861111111111,76.14583333333333,0.0,2.0,0.0,,,,
hotpotqa_long,IFR,signed_sum,native_sentence,sentences,4,48,0.5416666666666666,0.8524305555555555,0.6510416666666666,0.020833333333333332,0.6041666666666666,0.8578709508818255,1.0,156.91666666666666,0.0,4.0,0.0,,,,
hotpotqa_long,IFR,signed_sum,native_sentence,sentences,8,48,0.3098958333333333,0.9670138888888888,0.4629419191919191,0.0,0.8958333333333334,0.9714458653077482,1.0,318.9583333333333,0.0,8.0,0.0,,,,
hotpotqa_long,Perturbation,native_positive_normalized,native_sentence,all_body_tokens,0.05,48,0.2881944444444444,0.13368055555555555,0.1729166666666667,0.0,0.0,0.15423213586405135,0.65625,45.25,20.270833333333332,1.2291666666666667,0.14583333333333334,,,,
hotpotqa_long,Perturbation,native_positive_normalized,native_sentence,all_body_tokens,0.1,48,0.34791666666666665,0.37847222222222215,0.33761574074074074,0.0,0.0625,0.4074107203206154,0.9305555555555555,109.66666666666667,20.895833333333332,3.125,0.0,,,,
hotpotqa_long,Perturbation,native_positive_normalized,native_sentence,all_body_tokens,0.2,48,0.2989411800073564,0.6979166666666666,0.40335262325393906,0.0,0.3958333333333333,0.7232625080797156,1.0,239.29166666666666,21.229166666666668,6.666666666666667,0.0,,,,
hotpotqa_long,Perturbation,native_positive_normalized,native_sentence,sentences,2,48,0.3333333333333333,0.2569444444444444,0.28472222222222227,0.041666666666666664,0.041666666666666664,0.30379624213265227,0.829861111111111,82.3125,0.0,2.0,0.0,,,,
hotpotqa_long,Perturbation,native_positive_normalized,native_sentence,sentences,4,48,0.328125,0.515625,0.3936011904761905,0.0,0.1875,0.55254102380218,1.0,151.5625,0.0,4.0,0.0,,,,
hotpotqa_long,Perturbation,native_positive_normalized,native_sentence,sentences,8,48,0.2630208333333333,0.8107638888888888,0.39160353535353537,0.0,0.5625,0.8236552362867088,1.0,303.25,0.0,8.0,0.0,,,,
hotpotqa_long,Perturbation,signed_sum,native_sentence,all_body_tokens,0.05,48,0.18402777777777776,0.08680555555555554,0.11319444444444444,0.0,0.0,0.09556845983374092,0.65625,42.395833333333336,23.125,1.1666666666666667,0.20833333333333334,,,,
hotpotqa_long,Perturbation,signed_sum,native_sentence,all_body_tokens,0.1,48,0.3385416666666667,0.375,0.3318287037037037,0.0,0.08333333333333333,0.4058077858805918,0.9305555555555555,108.77083333333333,21.791666666666668,2.9375,0.0,,,,
hotpotqa_long,Perturbation,signed_sum,native_sentence,all_body_tokens,0.2,48,0.26081724987974986,0.5972222222222222,0.3495577679401209,0.0,0.2916666666666667,0.6050653001421926,1.0,235.29166666666666,25.229166666666668,6.375,0.0,,,,
hotpotqa_long,Perturbation,signed_sum,native_sentence,sentences,2,48,0.28125,0.21875,0.24166666666666667,0.020833333333333332,0.020833333333333332,0.26250419055020613,0.829861111111111,83.375,0.0,2.0,0.0,,,,
hotpotqa_long,Perturbation,signed_sum,native_sentence,sentences,4,48,0.3072916666666667,0.48090277777777773,0.36830357142857145,0.0,0.16666666666666666,0.5120582312870375,1.0,158.77083333333334,0.0,4.0,0.0,,,,
hotpotqa_long,Perturbation,signed_sum,native_sentence,sentences,8,48,0.21354166666666666,0.6475694444444444,0.3164772727272727,0.0,0.3333333333333333,0.6541939421839311,1.0,299.875,0.0,8.0,0.0,,,,
hotpotqa_long,REAGENT,native_positive_normalized,native_sentence,all_body_tokens,0.05,48,0.2673611111111111,0.11631944444444443,0.15416666666666667,0.0,0.0,0.13905191629735555,0.65625,44.541666666666664,20.979166666666668,1.2291666666666667,0.16666666666666666,,,,
hotpotqa_long,REAGENT,native_positive_normalized,native_sentence,all_body_tokens,0.1,48,0.3371527777777777,0.3611111111111111,0.3215443121693122,0.0,0.0625,0.39883310897429464,0.9305555555555555,112.41666666666667,18.145833333333332,3.125,0.0,,,,
hotpotqa_long,REAGENT,native_positive_normalized,native_sentence,all_body_tokens,0.2,48,0.2736314033189033,0.6336805555555556,0.3693428439751969,0.0,0.3541666666666667,0.6448082231040156,1.0,234.91666666666666,25.604166666666668,6.541666666666667,0.0,,,,
hotpotqa_long,REAGENT,native_positive_normalized,native_sentence,sentences,2,48,0.2916666666666667,0.2222222222222222,0.24722222222222223,0.041666666666666664,0.041666666666666664,0.27539136163988387,0.829861111111111,83.04166666666667,0.0,2.0,0.0,,,,
hotpotqa_long,REAGENT,native_positive_normalized,native_sentence,sentences,4,48,0.2864583333333333,0.453125,0.34449404761904767,0.0,0.14583333333333334,0.4802472008109837,1.0,150.16666666666666,0.0,4.0,0.0,,,,
hotpotqa_long,REAGENT,native_positive_normalized,native_sentence,sentences,8,48,0.24479166666666666,0.7638888888888888,0.3659090909090909,0.0,0.5,0.775193342905505,1.0,307.7708333333333,0.0,8.0,0.0,,,,
hotpotqa_long,REAGENT,signed_sum,native_sentence,all_body_tokens,0.05,48,0.16319444444444445,0.08159722222222222,0.10486111111111111,0.0,0.0,0.08995048230565102,0.65625,43.333333333333336,22.1875,1.2291666666666667,0.1875,,,,
hotpotqa_long,REAGENT,signed_sum,native_sentence,all_body_tokens,0.1,48,0.32395833333333335,0.34722222222222215,0.3130787037037037,0.020833333333333332,0.10416666666666667,0.38048102119950505,0.9305555555555555,106.64583333333333,23.916666666666668,3.0416666666666665,0.0,,,,
hotpotqa_long,REAGENT,signed_sum,native_sentence,all_body_tokens,0.2,48,0.23247564322931968,0.560763888888889,0.315191363217679,0.0,0.25,0.5647052546877583,1.0,241.41666666666666,19.104166666666668,6.958333333333333,0.0,,,,
hotpotqa_long,REAGENT,signed_sum,native_sentence,sentences,2,48,0.28125,0.2222222222222222,0.24375,0.041666666666666664,0.041666666666666664,0.26228713124849273,0.829861111111111,80.14583333333333,0.0,2.0,0.0,,,,
hotpotqa_long,REAGENT,signed_sum,native_sentence,sentences,4,48,0.2760416666666667,0.4375,0.3328373015873016,0.0,0.14583333333333334,0.4712193654543337,1.0,151.58333333333334,0.0,4.0,0.0,,,,
hotpotqa_long,REAGENT,signed_sum,native_sentence,sentences,8,48,0.20052083333333334,0.6163194444444444,0.29842171717171717,0.0,0.2916666666666667,0.6197630822972622,1.0,289.2916666666667,0.0,8.0,0.0,,,,
