family,method,target_input_tokens,actual_formatted_prompt_tokens,actual_generation_tokens,actual_total_tokens,phase,n_runs,n_ok,seconds_mean,seconds_std,peak_allocated_gb,peak_reserved_gb,audit_finite,valid_timing,audit_observed_root_calls,audit_max_observed_sequence_tokens
qwen35,deltatrace_retained,512,444,33,477,original3,3,3,1.748773495356242,1.6516367042988969,19.741065216,19.862126592,True,True,1,477
qwen35,deltatrace_retained,512,444,33,477,warm3,3,3,0.5749775568644205,0.012484263385086137,19.741065216,19.862126592,True,True,1,477
qwen35,deltatrace_retained,1024,871,33,904,original3,3,3,3.932719866434733,4.415673652947743,20.50256384,20.900216832,True,True,1,904
qwen35,deltatrace_retained,1024,871,33,904,warm3,3,3,0.8112356662750244,0.0026997212044571617,20.50256384,20.900216832,True,True,1,904
qwen35,ifr_all_positions,128,124,33,157,original3,3,3,6.302356958389282,7.038045126655076,20.421753344,20.4996608,True,True,1,157
qwen35,ifr_all_positions,256,231,33,264,original3,3,3,3.623096466064453,2.523912103205443,20.61149952,20.828913664,True,True,1,264
qwen35,ifr_all_positions,512,444,33,477,original3,3,3,5.157711585362752,2.5543806231644948,21.159669248,21.479030784,True,True,1,477
qwen35,ifr_all_positions,1024,871,33,904,original3,3,3,7.461011012395223,2.5860622993715303,23.10016,23.580377088,True,True,1,904
qwen35,ifr_multi_hop,128,124,33,157,original3,3,3,5.237163305282593,7.1092194002525995,20.388584448,20.497563648,True,True,1,157
qwen35,ifr_multi_hop,128,124,33,157,warm3,3,3,0.20931021372477213,0.001465752456224562,20.388584448,20.497563648,True,True,1,157
qwen35,ifr_multi_hop,256,231,33,264,original3,3,3,2.066906770070394,2.540705891098402,20.578594304,20.786970624,True,True,1,264
qwen35,ifr_multi_hop,256,231,33,264,warm3,3,3,0.27616079648335773,0.0010785885825054008,20.578594304,20.786970624,True,True,1,264
qwen35,ifr_multi_hop,512,444,33,477,original3,3,3,2.1740527947743735,2.6114825756059123,21.159669248,21.41192192,True,True,1,477
qwen35,ifr_multi_hop,512,444,33,477,warm3,3,3,0.3258565266927083,0.0010462356615938233,21.159669248,21.41192192,True,True,1,477
qwen35,ifr_multi_hop,1024,871,33,904,original3,3,3,2.40426238377889,2.6511813855521074,23.10016,23.58247424,True,True,1,904
qwen35,ifr_multi_hop,1024,871,33,904,warm3,3,3,0.5670296351114908,0.0003739775766058122,23.10016,23.565697024,True,True,1,904
qwen35,ifr_multi_hop_both,128,124,33,157,original3,3,3,9.996941486994425,13.813949722201627,20.388570624,20.497563648,True,True,1,157
qwen35,ifr_multi_hop_both,128,124,33,157,warm3,3,3,0.22817818323771158,0.001337798867145186,20.388570624,20.497563648,True,True,1,157
qwen35,ifr_multi_hop_both,256,231,33,264,original3,3,3,6.309270938237508,8.489206845783576,20.578574336,20.784873472,True,True,1,264
qwen35,ifr_multi_hop_both,256,231,33,264,warm3,3,3,0.2855993111928304,0.006767428270995684,20.578574336,20.784873472,True,True,1,264
qwen35,ifr_multi_hop_both,512,444,33,477,original3,3,3,7.199258168538411,9.680836361521514,21.159669248,21.41192192,True,True,1,477
qwen35,ifr_multi_hop_both,512,444,33,477,warm3,3,3,0.34139593442281085,0.0018116081562070808,21.159669248,21.41192192,True,True,1,477
qwen35,ifr_multi_hop_both,1024,871,33,904,original3,3,3,6.6253461837768555,8.588022567274516,23.10016,23.58247424,True,True,1,904
qwen35,ifr_multi_hop_both,1024,871,33,904,warm3,3,3,0.5509943962097168,0.003639708622500921,23.10016,23.565697024,True,True,1,904
qwen35,perturbation_CLP,128,124,33,157,original3,3,3,14.028991858164469,6.109918096319354,21.155680256,22.527606784,True,True,165,157
qwen35,perturbation_all,128,124,33,157,original3,3,3,13.904022852579752,5.976195774054779,20.990193664,21.588082688,True,True,165,157
qwen35,perturbation_all,256,231,33,264,original3,3,3,21.164476950963337,2.3974263089571086,22.015218176,22.965911552,True,True,291,264
qwen35,perturbation_all,512,444,33,477,original3,3,3,42.83823482195536,1.0000960075928538,24.164667392,26.247954432,True,True,549,477
qwen35,perturbation_all,1024,871,33,904,original3,3,3,127.01682925224304,3.090044499119963,28.547871744,34.1311488,True,True,1059,904
