dataset,index,input_sha256,prompt_length,target_length,DT_RISE,DT_MAS,DT_Recall10,signed_RISE_source
niah_mq_q2,56,4d338f9f5f343f745265b734bdb40bf11c016b79406a3c00b34142dffff63ff3,351,336,0.07240143369175626,0.09730806901040771,0.4473684210526316,proof
niah_mq_q2,57,a689cbe48fbcc464acb27c5fcb70a156d608e67560e19a345eda69cbb14401e7,354,235,0.07815457413249209,0.11343614431453393,0.4358974358974359,proof
niah_mq_q2,58,2583a0827e8d6e038b794603b07305646ddc46a3c2bbd2374679e213d899992a,958,392,0.043867924528301884,0.06440103677123829,0.9487179487179487,proof
niah_mq_q2,59,ea4938760c0d13740dc6fc5fcc58aa1c7510c34fc43ea77cf319cc116f520191,354,310,0.08908132530120483,0.12891569703474418,0.4358974358974359,proof
niah_mq_q2,60,3aa5df0b64767d25dc1f3dcde7e180ca7e3ab1e81ec02312c87a30009c9b2913,366,244,0.08180933852140078,0.09165600775283955,0.46511627906976744,proof
niah_mq_q2,61,d10ced71abde4d481924f075b64f372d2f351bcfcc40fed31f70696645d3d893,958,248,0.041283348666053356,0.06170674553136786,0.9743589743589743,proof
niah_mq_q2,62,e22c3b80e025262d304ef8b4fe83b991451032773beea2515f1746bb9f961f9c,958,278,0.025,0.047704190848148774,0.8974358974358975,proof
niah_mq_q2,63,fb3e131943c9b887e9d3d983415e16a0e6dc211e35f497b16ada18bae33c66b8,958,277,0.042498192335502526,0.06205883815330003,0.9743589743589743,proof
niah_mq_q2,64,56bdc9b8c0629179d18b3f3d77a04b7deced7a1122b589b258e65b9af868879a,354,306,0.10046816479400748,0.13340116360741577,0.358974358974359,proof
niah_mq_q2,65,beeb8ac0b692038e0ca39eeb3dc3c9504155a553a753ab3e8ae6630c5906356e,955,254,0.04861111111111112,0.0724828888910595,0.9736842105263158,proof
niah_mq_q2,66,834bcd3ac1046a60a44f0e7bf867b130ff5a38666fccb44c5016b8b3279c7b36,370,350,0.08055555555555556,0.11236598665979139,0.36363636363636365,proof
niah_mq_q2,67,266a1cd5495d79700c4b55e41d28ef330293907a42026a1608730bbbc40a17ca,354,265,0.09959893048128343,0.12921320697700941,0.358974358974359,proof
niah_mq_q2,68,20ac6d391999a6d4e3a6118b014bd9ca6d6691f811cf8e2a0e5d88251439a00f,958,256,0.053405017921146956,0.06870881606375771,0.9487179487179487,proof
niah_mq_q2,69,503587b6d83f9226057e71b6ea5f746013ede7ed73888001c02dc06b4a972b1e,354,265,0.12542134831460675,0.16788957010510736,0.41025641025641024,proof
niah_mq_q2,70,84bf71028a119a1da5e4b6020c85602c7dd9e89fa2582b2cacfcfa68236658f4,955,254,0.05261194029850745,0.08299737112115084,0.9736842105263158,proof
niah_mq_q2,71,5e5091a66c7e56c52c43946120110371ac89e66d7799bca67341e12b3b6a59ea,366,279,0.12290575916230366,0.16322778393461973,0.37209302325581395,proof
niah_mq_q2,72,fc83bc5d876287a6eb9ef1093714cd59f2443a3a6d89fc0815cdd487ade082b4,961,279,0.05440074906367041,0.08389128857973913,0.975,proof
niah_mq_q2,73,9873bfa615116d78c4a7f3f69dd01199d5f239291da2f3fa932f9daa4ec75f5d,345,237,0.0933937823834197,0.1296452545866683,0.4444444444444444,proof
niah_mq_q2,74,52e3edb9699916ee8fc7ffe9c64554c5a51b394766874bf55632c2f3da46ca5a,363,289,0.13642735768903994,0.18398485036955048,0.42857142857142855,proof
niah_mq_q2,75,8ef0ab70c960f0a0d1b95328dd29768ed0f95dc965714097caf4bc06553b2fde,955,225,0.04939777640518839,0.08411852509381476,0.9736842105263158,proof
niah_mq_q2,76,7eb395f175f06fac907dea645d89c128c1aaf7b4a528f160737b44d2d3135ce6,958,257,0.02833889816360601,0.046303666563573764,0.9230769230769231,proof
niah_mq_q2,77,10152057b201b7b5dde9116054605cf0de400243687a5dc24e5c3d675a203f07,360,319,0.06769366197183099,0.11565413767955249,0.4146341463414634,proof
niah_mq_q2,78,fcd4b2b20097bb05ce1700d80444d8dc1bb27f7aab443d8a08a3f87d0432bac7,958,274,0.035927152317880795,0.050526559497564474,0.9743589743589743,proof
niah_mq_q2,79,c76f1a3d9ae3f50d5d575a137713677786ccba92172f9043ac13a95161f0c492,958,363,0.04562015503875969,0.0638388210083489,0.9743589743589743,proof
niah_mq_q2,80,ca09f98452b5bd88703956e43fb71876089ae9cd1d542440a6d8e26e4f3c6704,357,283,0.06175417661097852,0.08156640233598915,0.425,proof
niah_mq_q2,81,f0bae0664883d82d0d037c06ba689a078f6b131694684d074c15e4a7ab3e8749,354,236,0.10098039215686276,0.12158220176097187,0.46153846153846156,original_signed_call
niah_mq_q2,82,bfbadbc8357e05af31c57fd45bceb08d187345507bd234ce85a9dcd6ee78f676,351,294,0.05625,0.09302455514608914,0.4473684210526316,proof
niah_mq_q2,83,de53499b312cafde385edc055bc988f2253577a6f686d92884de104a58ea07a5,357,337,0.10561389337641355,0.1306345838383011,0.4,proof
niah_mq_q2,84,86bf8f76e3475d2d150192bed0a48bcfedc9de7ce3dd8e9d29c0b3664508bd1f,955,264,0.03441306755260244,0.04759691214241435,0.9210526315789473,proof
niah_mq_q2,85,50855bf4a9a159970c35bca66d2265fac31d4fd366b225a9a56248c6118cbaa9,952,223,0.05018321119253831,0.07744379175841423,1.0,proof
niah_mq_q2,86,b28f7f8af58e41e61d71b5af7dc3a9501bbe25c4f654fe2935586dc8c2f362e9,354,289,0.06316067653276955,0.07851757315561048,0.46153846153846156,proof
niah_mq_q2,87,c8c7cb2d3423f4fdb1c0f2a348576fe890e4f866491fe365754783ab4cef00ff,952,241,0.0510595130748422,0.06614676288566881,0.9459459459459459,proof
niah_mq_q2,88,6b606f747ce8d755de58f4f002582613329cadbca470501091b5315208876603,952,261,0.03849072512647554,0.04867145102865271,1.0,proof
niah_mq_q2,89,733d35879862bc7ffc91ec0598e7c43e9c0a0340e50a8663af726e758879882d,358,333,0.05567765567765568,0.10138175546467368,0.375,proof
niah_mq_q2,90,73de2995d16363325be87ed9c8d4845494c05acbb9f17ef21853fdfa038bff3c,351,272,0.06520979020979022,0.08710174823005576,0.4473684210526316,proof
niah_mq_q2,91,51162915fd07f983c796521778ffebe813cfee2c94535b6f75b31e2240008a69,358,290,0.05703991130820398,0.09192337760362519,0.425,proof
niah_mq_q2,92,0fbd413bad4b7ff872762e1039aad14bcc2ad6e2f7985c8e2d904d012b1c7b88,958,270,0.047610015174506824,0.07191993785545607,0.9487179487179487,proof
niah_mq_q2,93,c3b5d5f7d86e332d4c346ab5ff0ec79662a89132a5eaaf0eb10213e8a9a5e5e3,348,245,0.11631419939577041,0.15983347291100547,0.4864864864864865,proof
niah_mq_q2,94,2e75a9359c940799e99ad30bdc92163caaa5b1590d23ad31f6af32fd58643a61,351,315,0.08644658261446583,0.140714274116987,0.3157894736842105,proof
niah_mq_q2,95,e7e19ba8494bad311fde02bb5d089bb80bea3eeb55e5774d33ac6775c2ce5ee7,360,319,0.0665231187669991,0.09220125141312878,0.4146341463414634,proof
niah_mq_q2,96,bcce7976a30de1a2c377ccd6ff923234751e3111a97bfc68ee5d8249142cc5ac,357,269,0.12954115421002838,0.17280867800410027,0.45,proof
niah_mq_q2,97,39198adef318fcfc477ef104a5f49d844973513b87a08efdfd4df73907a1f23c,354,396,0.04970881863560732,0.09025484125491964,0.41025641025641024,proof
niah_mq_q2,98,aa4bae78cb04e5bb6c023a6799a010e0b99eb1717e3f222f15574e63ca3aea76,964,293,0.026559792027729633,0.05833595354181165,1.0,proof
niah_mq_q2,99,552794542b3726c2d8074e561aa096555460c06425986ef238a6c5808412797d,354,254,0.05463302752293577,0.08943441717284184,0.41025641025641024,proof
niah_mq_q4,0,8fde9a6bc6e0b100032e2b0592ee21b8854986dc8b36cebd11ff81277c8cf914,953,377,0.09503027245206863,0.13172542835340578,0.5324675324675324,original_signed_call
niah_mq_q4,1,340d815818fdec7eb9e6147c8712f0c90dc4266ceca538b6d3f732c47c299034,953,388,0.08607814045499504,0.12223279512925125,0.5454545454545454,proof
niah_mq_q4,2,b5e08ab269f9cfe134686b4cc010bdc629ed601e83427240bc0571d79024bd52,354,348,0.2928879310344828,0.44681286801665604,0.2125,proof
niah_mq_q4,3,b416550845091fa856ad9b2b4766f43c0c5543c090e1c7eb66aaef8cdc74bf85,356,423,0.2348352713178295,0.33270911856980534,0.20987654320987653,proof
