target_mode,labels,subset,n,budget_unit,budget_value,method,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences
full,review_corrected,all48,48,body_tokens,0.05,FT_K1,0.5215773809523809,0.5399305555555555,0.5027612433862434,0.020833333333333332,0.125,0.4612247931252722,0.6562499999999999,56.104166666666664,2.9375,2.875
full,review_corrected,all48,48,body_tokens,0.05,FT_K3,0.5365079365079365,0.5503472222222222,0.516253306878307,0.041666666666666664,0.14583333333333334,0.4760485110739901,0.6562499999999999,55.958333333333336,3.0833333333333335,2.8333333333333335
full,review_corrected,all48,48,body_tokens,0.1,DT_target,0.44373496873496876,0.7708333333333334,0.5389198764198765,0.0625,0.4375,0.7223713148810079,0.9305555555555555,114.45833333333333,3.1666666666666665,5.020833333333333
full,review_corrected,all48,48,body_tokens,0.1,FT_K1,0.4559704184704185,0.763888888888889,0.5432819495319495,0.0625,0.4583333333333333,0.7165146041536105,0.9305555555555555,114.10416666666667,3.5208333333333335,4.895833333333333
full,review_corrected,all48,48,body_tokens,0.1,FT_K3,0.48139880952380953,0.7743055555555557,0.5607142857142857,0.0625,0.4791666666666667,0.7423677338670344,0.9305555555555555,114.20833333333333,3.4166666666666665,4.770833333333333
full,review_corrected,all48,48,body_tokens,0.2,DT_target,0.29784657654723445,0.9409722222222222,0.438677125481793,0.0,0.8333333333333334,0.9234286397418926,1.0,232.125,2.7083333333333335,9.145833333333334
full,review_corrected,all48,48,body_tokens,0.2,FT_K1,0.26017384962818396,0.8715277777777778,0.3903672630259318,0.0,0.6875,0.8431119020243609,1.0,232.02083333333334,2.8125,9.375
full,review_corrected,all48,48,body_tokens,0.2,FT_K3,0.26183488352606,0.8715277777777778,0.3922020023606711,0.0,0.6875,0.8431119020243609,1.0,232.02083333333334,2.8125,9.333333333333334
full,review_corrected,all48,48,sentences,2,DT_target,0.75,0.59375,0.6513888888888889,0.14583333333333334,0.14583333333333334,0.54240944347765,0.829861111111111,54.3125,0.0,2.0
full,review_corrected,all48,48,sentences,2,FT_K1,0.7916666666666666,0.6354166666666666,0.6930555555555555,0.22916666666666666,0.22916666666666666,0.5874838844667143,0.829861111111111,56.833333333333336,0.0,2.0
full,review_corrected,all48,48,sentences,2,FT_K3,0.8020833333333334,0.642361111111111,0.7013888888888888,0.22916666666666666,0.22916666666666666,0.5993566443233451,0.829861111111111,58.208333333333336,0.0,2.0
full,review_corrected,all48,48,sentences,4,DT_target,0.5260416666666666,0.8246527777777777,0.6312003968253969,0.0,0.5416666666666666,0.7912425779956603,1.0,109.77083333333333,0.0,4.0
full,review_corrected,all48,48,sentences,4,FT_K1,0.5104166666666666,0.8003472222222222,0.6123511904761905,0.041666666666666664,0.5208333333333334,0.7741902314071168,1.0,111.875,0.0,4.0
full,review_corrected,all48,48,sentences,4,FT_K3,0.515625,0.8072916666666666,0.6183035714285715,0.041666666666666664,0.5416666666666666,0.7853909482529949,1.0,110.83333333333333,0.0,4.0
full,review_corrected,all48,48,sentences,8,DT_target,0.3046875,0.9513888888888888,0.455050505050505,0.0,0.8541666666666666,0.9336487655280562,1.0,219.91666666666666,0.0,8.0
full,review_corrected,all48,48,sentences,8,FT_K1,0.28125,0.8819444444444445,0.42045454545454547,0.0,0.6875,0.8573572397224916,1.0,215.08333333333334,0.0,8.0
full,review_corrected,all48,48,sentences,8,FT_K3,0.28125,0.8819444444444445,0.42045454545454547,0.0,0.6875,0.8573572397224916,1.0,215.70833333333334,0.0,8.0
answer_only,official_restored,unambiguous45,45,body_tokens,0.05,DT_target,0.45888888888888885,0.44629629629629625,0.42735449735449726,0.022222222222222223,0.08888888888888889,0.39470688131768544,0.6444444444444444,56.46666666666667,3.0,2.7777777777777777
answer_only,official_restored,unambiguous45,45,body_tokens,0.05,FT_K1,0.4533862433862433,0.46666666666666656,0.43252204585537907,0.0,0.06666666666666667,0.419112876950162,0.6444444444444444,56.55555555555556,2.911111111111111,2.8444444444444446
answer_only,official_restored,unambiguous45,45,body_tokens,0.05,FT_K3,0.46079365079365076,0.4777777777777777,0.441410934744268,0.0,0.08888888888888889,0.4257506835879687,0.6444444444444444,56.55555555555556,2.911111111111111,2.8444444444444446
answer_only,official_restored,unambiguous45,45,body_tokens,0.1,DT_target,0.4024503891170558,0.6925925925925926,0.4812018845352178,0.06666666666666667,0.35555555555555557,0.6711758568562511,0.9259259259259258,115.57777777777778,2.8666666666666667,5.0
answer_only,official_restored,unambiguous45,45,body_tokens,0.1,FT_K1,0.40416225749559076,0.6759259259259259,0.4802565335898669,0.022222222222222223,0.28888888888888886,0.6280237631224869,0.9259259259259258,114.62222222222222,3.8222222222222224,4.911111111111111
answer_only,official_restored,unambiguous45,45,body_tokens,0.1,FT_K3,0.42675485008818337,0.6833333333333335,0.4944540644540645,0.022222222222222223,0.3111111111111111,0.6517359003071099,0.9259259259259258,114.73333333333333,3.7111111111111112,4.822222222222222
answer_only,official_restored,unambiguous45,45,body_tokens,0.2,DT_target,0.25993574326907654,0.8611111111111112,0.38754442425371666,0.0,0.6888888888888889,0.8406637075107467,1.0,233.64444444444445,2.8222222222222224,9.466666666666667
answer_only,official_restored,unambiguous45,45,body_tokens,0.2,FT_K1,0.25003755503755504,0.8277777777777776,0.3721918314075176,0.0,0.5777777777777777,0.7962735150794708,1.0,232.95555555555555,3.511111111111111,9.355555555555556
answer_only,official_restored,unambiguous45,45,body_tokens,0.2,FT_K3,0.2503742553742554,0.8277777777777776,0.3726802318959181,0.0,0.5777777777777777,0.7962735150794708,1.0,233.24444444444444,3.2222222222222223,9.333333333333334
answer_only,official_restored,unambiguous45,45,sentences,2,DT_target,0.6222222222222222,0.49999999999999994,0.5451851851851852,0.08888888888888889,0.08888888888888889,0.4757667515011228,0.8296296296296294,54.733333333333334,0.0,2.0
answer_only,official_restored,unambiguous45,45,sentences,2,FT_K1,0.6777777777777778,0.5444444444444445,0.5940740740740741,0.1111111111111111,0.1111111111111111,0.5139124748109791,0.8296296296296294,55.93333333333333,0.0,2.0
answer_only,official_restored,unambiguous45,45,sentences,2,FT_K3,0.7,0.562962962962963,0.6140740740740741,0.13333333333333333,0.13333333333333333,0.5246124080915576,0.8296296296296294,55.888888888888886,0.0,2.0
answer_only,official_restored,unambiguous45,45,sentences,4,DT_target,0.4666666666666667,0.7388888888888889,0.5626984126984128,0.0,0.4444444444444444,0.7089215422441788,1.0,108.8,0.0,4.0
answer_only,official_restored,unambiguous45,45,sentences,4,FT_K1,0.45,0.7185185185185186,0.5444444444444446,0.0,0.37777777777777777,0.6862841225354583,1.0,107.24444444444444,0.0,4.0
answer_only,official_restored,unambiguous45,45,sentences,4,FT_K3,0.45,0.7185185185185186,0.5444444444444446,0.0,0.37777777777777777,0.6862841225354583,1.0,106.95555555555555,0.0,4.0
answer_only,official_restored,unambiguous45,45,sentences,8,DT_target,0.2722222222222222,0.8629629629629628,0.40848484848484845,0.0,0.6888888888888889,0.8364505844157759,1.0,215.2,0.0,8.0
answer_only,official_restored,unambiguous45,45,sentences,8,FT_K1,0.25833333333333336,0.811111111111111,0.38666666666666655,0.0,0.5333333333333333,0.7811589103443833,1.0,219.17777777777778,0.0,8.0
answer_only,official_restored,unambiguous45,45,sentences,8,FT_K3,0.25833333333333336,0.811111111111111,0.38666666666666655,0.0,0.5333333333333333,0.7811589103443833,1.0,219.35555555555555,0.0,8.0
answer_only,review_corrected,unambiguous45,45,body_tokens,0.05,DT_target,0.4662962962962963,0.4574074074074074,0.43624338624338616,0.022222222222222223,0.08888888888888889,0.4042987940345982,0.6444444444444444,56.46666666666667,3.0,2.7777777777777777
answer_only,review_corrected,unambiguous45,45,body_tokens,0.05,FT_K1,0.4589417989417989,0.4777777777777777,0.43992945326278654,0.0,0.08888888888888889,0.430376204671823,0.6444444444444444,56.55555555555556,2.911111111111111,2.8444444444444446
