dataset,index,method,rule,fraction,recall,budget,gold,ceiling
vt_h2_c3,83,FT_K3,rms,0.05,0.5862068965517241,17,29,0.5862068965517241
vt_h2_c3,83,FT_K3,rms,0.1,1.0,34,29,1.0
vt_h2_c3,83,FT_K3,rms,0.2,1.0,67,29,1.0
vt_h2_c3,83,FT_K3,max,0.05,0.5862068965517241,17,29,0.5862068965517241
vt_h2_c3,83,FT_K3,max,0.1,1.0,34,29,1.0
vt_h2_c3,83,FT_K3,max,0.2,1.0,67,29,1.0
hotpotqa_long,8,DT,raw,0.05,0.35384615384615387,37,65,0.5692307692307692
hotpotqa_long,8,DT,raw,0.1,0.5076923076923077,74,65,1.0
hotpotqa_long,8,DT,raw,0.2,0.7230769230769231,147,65,1.0
hotpotqa_long,8,DT,mean,0.05,0.5538461538461539,37,65,0.5692307692307692
hotpotqa_long,8,DT,mean,0.1,0.9076923076923077,74,65,1.0
hotpotqa_long,8,DT,mean,0.2,0.9076923076923077,147,65,1.0
hotpotqa_long,8,DT,rms,0.05,0.5538461538461539,37,65,0.5692307692307692
hotpotqa_long,8,DT,rms,0.1,0.9076923076923077,74,65,1.0
hotpotqa_long,8,DT,rms,0.2,0.9076923076923077,147,65,1.0
hotpotqa_long,8,DT,max,0.05,0.5538461538461539,37,65,0.5692307692307692
hotpotqa_long,8,DT,max,0.1,0.9076923076923077,74,65,1.0
hotpotqa_long,8,DT,max,0.2,0.9076923076923077,147,65,1.0
hotpotqa_long,8,FT_K3,raw,0.05,0.4,37,65,0.5692307692307692
hotpotqa_long,8,FT_K3,raw,0.1,0.5846153846153846,74,65,1.0
hotpotqa_long,8,FT_K3,raw,0.2,0.7692307692307693,147,65,1.0
hotpotqa_long,8,FT_K3,mean,0.05,0.5384615384615384,37,65,0.5692307692307692
hotpotqa_long,8,FT_K3,mean,0.1,0.7230769230769231,74,65,1.0
hotpotqa_long,8,FT_K3,mean,0.2,0.9076923076923077,147,65,1.0
hotpotqa_long,8,FT_K3,rms,0.05,0.5384615384615384,37,65,0.5692307692307692
hotpotqa_long,8,FT_K3,rms,0.1,0.7230769230769231,74,65,1.0
hotpotqa_long,8,FT_K3,rms,0.2,0.9076923076923077,147,65,1.0
hotpotqa_long,8,FT_K3,max,0.05,0.5384615384615384,37,65,0.5692307692307692
hotpotqa_long,8,FT_K3,max,0.1,0.8769230769230769,74,65,1.0
hotpotqa_long,8,FT_K3,max,0.2,0.9076923076923077,147,65,1.0
hotpotqa_long,9,DT,raw,0.05,0.3870967741935484,48,62,0.7741935483870968
hotpotqa_long,9,DT,raw,0.1,0.5967741935483871,95,62,1.0
hotpotqa_long,9,DT,raw,0.2,0.8064516129032258,190,62,1.0
hotpotqa_long,9,DT,mean,0.05,0.6290322580645161,48,62,0.7741935483870968
hotpotqa_long,9,DT,mean,0.1,0.7258064516129032,95,62,1.0
hotpotqa_long,9,DT,mean,0.2,1.0,190,62,1.0
hotpotqa_long,9,DT,rms,0.05,0.5483870967741935,48,62,0.7741935483870968
hotpotqa_long,9,DT,rms,0.1,0.5483870967741935,95,62,1.0
hotpotqa_long,9,DT,rms,0.2,0.7258064516129032,190,62,1.0
hotpotqa_long,9,DT,max,0.05,0.4838709677419355,48,62,0.7741935483870968
hotpotqa_long,9,DT,max,0.1,0.4838709677419355,95,62,1.0
hotpotqa_long,9,DT,max,0.2,0.5483870967741935,190,62,1.0
hotpotqa_long,9,FT_K3,raw,0.05,0.3064516129032258,48,62,0.7741935483870968
hotpotqa_long,9,FT_K3,raw,0.1,0.532258064516129,95,62,1.0
hotpotqa_long,9,FT_K3,raw,0.2,0.8870967741935484,190,62,1.0
hotpotqa_long,9,FT_K3,mean,0.05,0.5483870967741935,48,62,0.7741935483870968
hotpotqa_long,9,FT_K3,mean,0.1,0.7258064516129032,95,62,1.0
hotpotqa_long,9,FT_K3,mean,0.2,1.0,190,62,1.0
hotpotqa_long,9,FT_K3,rms,0.05,0.5483870967741935,48,62,0.7741935483870968
hotpotqa_long,9,FT_K3,rms,0.1,0.5483870967741935,95,62,1.0
hotpotqa_long,9,FT_K3,rms,0.2,0.6129032258064516,190,62,1.0
hotpotqa_long,9,FT_K3,max,0.05,0.4838709677419355,48,62,0.7741935483870968
hotpotqa_long,9,FT_K3,max,0.1,0.4838709677419355,95,62,1.0
hotpotqa_long,9,FT_K3,max,0.2,0.4838709677419355,190,62,1.0
hotpotqa_long,10,DT,raw,0.05,0.22916666666666666,64,144,0.4444444444444444
hotpotqa_long,10,DT,raw,0.1,0.3333333333333333,127,144,0.8819444444444444
hotpotqa_long,10,DT,raw,0.2,0.5277777777777778,253,144,1.0
hotpotqa_long,10,DT,mean,0.05,0.3819444444444444,64,144,0.4444444444444444
hotpotqa_long,10,DT,mean,0.1,0.5763888888888888,127,144,0.8819444444444444
hotpotqa_long,10,DT,mean,0.2,0.8125,253,144,1.0
hotpotqa_long,10,DT,rms,0.05,0.4444444444444444,64,144,0.4444444444444444
hotpotqa_long,10,DT,rms,0.1,0.7986111111111112,127,144,0.8819444444444444
hotpotqa_long,10,DT,rms,0.2,0.8125,253,144,1.0
hotpotqa_long,10,DT,max,0.05,0.4444444444444444,64,144,0.4444444444444444
hotpotqa_long,10,DT,max,0.1,0.7986111111111112,127,144,0.8819444444444444
hotpotqa_long,10,DT,max,0.2,0.8125,253,144,1.0
hotpotqa_long,10,FT_K3,raw,0.05,0.20833333333333334,64,144,0.4444444444444444
hotpotqa_long,10,FT_K3,raw,0.1,0.3125,127,144,0.8819444444444444
hotpotqa_long,10,FT_K3,raw,0.2,0.4722222222222222,253,144,1.0
hotpotqa_long,10,FT_K3,mean,0.05,0.3958333333333333,64,144,0.4444444444444444
hotpotqa_long,10,FT_K3,mean,0.1,0.7083333333333334,127,144,0.8819444444444444
hotpotqa_long,10,FT_K3,mean,0.2,0.8125,253,144,1.0
hotpotqa_long,10,FT_K3,rms,0.05,0.4444444444444444,64,144,0.4444444444444444
hotpotqa_long,10,FT_K3,rms,0.1,0.75,127,144,0.8819444444444444
hotpotqa_long,10,FT_K3,rms,0.2,0.8125,253,144,1.0
hotpotqa_long,10,FT_K3,max,0.05,0.4444444444444444,64,144,0.4444444444444444
hotpotqa_long,10,FT_K3,max,0.1,0.75,127,144,0.8819444444444444
hotpotqa_long,10,FT_K3,max,0.2,0.8125,253,144,1.0
hotpotqa_long,25,DT,raw,0.05,0.34782608695652173,85,69,1.0
hotpotqa_long,25,DT,raw,0.1,0.5507246376811594,169,69,1.0
hotpotqa_long,25,DT,raw,0.2,0.6956521739130435,337,69,1.0
hotpotqa_long,25,DT,mean,0.05,0.6521739130434783,85,69,1.0
hotpotqa_long,25,DT,mean,0.1,0.6666666666666666,169,69,1.0
hotpotqa_long,25,DT,mean,0.2,1.0,337,69,1.0
hotpotqa_long,25,DT,rms,0.05,0.6521739130434783,85,69,1.0
hotpotqa_long,25,DT,rms,0.1,0.6666666666666666,169,69,1.0
hotpotqa_long,25,DT,rms,0.2,0.6811594202898551,337,69,1.0
hotpotqa_long,25,DT,max,0.05,0.4927536231884058,85,69,1.0
hotpotqa_long,25,DT,max,0.1,0.5072463768115942,169,69,1.0
hotpotqa_long,25,DT,max,0.2,0.6666666666666666,337,69,1.0
hotpotqa_long,25,FT_K3,raw,0.05,0.391304347826087,85,69,1.0
hotpotqa_long,25,FT_K3,raw,0.1,0.4782608695652174,169,69,1.0
hotpotqa_long,25,FT_K3,raw,0.2,0.6231884057971014,337,69,1.0
hotpotqa_long,25,FT_K3,mean,0.05,0.4927536231884058,85,69,1.0
hotpotqa_long,25,FT_K3,mean,0.1,0.8260869565217391,169,69,1.0
hotpotqa_long,25,FT_K3,mean,0.2,0.9855072463768116,337,69,1.0
hotpotqa_long,25,FT_K3,rms,0.05,0.30434782608695654,85,69,1.0
hotpotqa_long,25,FT_K3,rms,0.1,0.4927536231884058,169,69,1.0
hotpotqa_long,25,FT_K3,rms,0.2,0.9420289855072463,337,69,1.0
hotpotqa_long,25,FT_K3,max,0.05,0.4927536231884058,85,69,1.0
hotpotqa_long,25,FT_K3,max,0.1,0.4927536231884058,169,69,1.0
hotpotqa_long,25,FT_K3,max,0.2,0.9565217391304348,337,69,1.0
hotpotqa_long,27,DT,raw,0.05,0.2835820895522388,83,67,1.0
hotpotqa_long,27,DT,raw,0.1,0.40298507462686567,165,67,1.0
hotpotqa_long,27,DT,raw,0.2,0.582089552238806,330,67,1.0
hotpotqa_long,27,DT,mean,0.05,0.7313432835820896,83,67,1.0
hotpotqa_long,27,DT,mean,0.1,1.0,165,67,1.0
hotpotqa_long,27,DT,mean,0.2,1.0,330,67,1.0
hotpotqa_long,27,DT,rms,0.05,0.9850746268656716,83,67,1.0
hotpotqa_long,27,DT,rms,0.1,1.0,165,67,1.0
hotpotqa_long,27,DT,rms,0.2,1.0,330,67,1.0
hotpotqa_long,27,DT,max,0.05,0.9850746268656716,83,67,1.0
hotpotqa_long,27,DT,max,0.1,0.9850746268656716,165,67,1.0
hotpotqa_long,27,DT,max,0.2,1.0,330,67,1.0
hotpotqa_long,27,FT_K3,raw,0.05,0.31343283582089554,83,67,1.0
hotpotqa_long,27,FT_K3,raw,0.1,0.4925373134328358,165,67,1.0
hotpotqa_long,27,FT_K3,raw,0.2,0.6417910447761194,330,67,1.0
hotpotqa_long,27,FT_K3,mean,0.05,0.7910447761194029,83,67,1.0
hotpotqa_long,27,FT_K3,mean,0.1,1.0,165,67,1.0
hotpotqa_long,27,FT_K3,mean,0.2,1.0,330,67,1.0
hotpotqa_long,27,FT_K3,rms,0.05,0.9104477611940298,83,67,1.0
hotpotqa_long,27,FT_K3,rms,0.1,1.0,165,67,1.0
hotpotqa_long,27,FT_K3,rms,0.2,1.0,330,67,1.0
hotpotqa_long,27,FT_K3,max,0.05,0.9850746268656716,83,67,1.0
hotpotqa_long,27,FT_K3,max,0.1,1.0,165,67,1.0
hotpotqa_long,27,FT_K3,max,0.2,1.0,330,67,1.0
hotpotqa_long,40,DT,raw,0.05,0.109375,66,128,0.515625
hotpotqa_long,40,DT,raw,0.1,0.203125,131,128,1.0
hotpotqa_long,40,DT,raw,0.2,0.3671875,261,128,1.0
hotpotqa_long,40,DT,mean,0.05,0.140625,66,128,0.515625
hotpotqa_long,40,DT,mean,0.1,0.359375,131,128,1.0
hotpotqa_long,40,DT,mean,0.2,0.359375,261,128,1.0
hotpotqa_long,40,DT,rms,0.05,0.140625,66,128,0.515625
hotpotqa_long,40,DT,rms,0.1,0.21875,131,128,1.0
hotpotqa_long,40,DT,rms,0.2,0.359375,261,128,1.0
hotpotqa_long,40,DT,max,0.05,0.140625,66,128,0.515625
hotpotqa_long,40,DT,max,0.1,0.359375,131,128,1.0
hotpotqa_long,40,DT,max,0.2,0.359375,261,128,1.0
hotpotqa_long,40,FT_K3,raw,0.05,0.125,66,128,0.515625
hotpotqa_long,40,FT_K3,raw,0.1,0.21875,131,128,1.0
hotpotqa_long,40,FT_K3,raw,0.2,0.328125,261,128,1.0
hotpotqa_long,40,FT_K3,mean,0.05,0.1484375,66,128,0.515625
hotpotqa_long,40,FT_K3,mean,0.1,0.359375,131,128,1.0
hotpotqa_long,40,FT_K3,mean,0.2,0.3671875,261,128,1.0
hotpotqa_long,40,FT_K3,rms,0.05,0.3203125,66,128,0.515625
hotpotqa_long,40,FT_K3,rms,0.1,0.359375,131,128,1.0
hotpotqa_long,40,FT_K3,rms,0.2,0.3671875,261,128,1.0
hotpotqa_long,40,FT_K3,max,0.05,0.359375,66,128,0.515625
hotpotqa_long,40,FT_K3,max,0.1,0.359375,131,128,1.0
hotpotqa_long,40,FT_K3,max,0.2,0.3671875,261,128,1.0
hotpotqa_long,42,DT,raw,0.05,0.1125,67,80,0.8375
hotpotqa_long,42,DT,raw,0.1,0.2,133,80,1.0
hotpotqa_long,42,DT,raw,0.2,0.375,265,80,1.0
hotpotqa_long,42,DT,mean,0.05,0.525,67,80,0.8375
hotpotqa_long,42,DT,mean,0.1,0.525,133,80,1.0
hotpotqa_long,42,DT,mean,0.2,0.525,265,80,1.0
hotpotqa_long,42,DT,rms,0.05,0.525,67,80,0.8375
hotpotqa_long,42,DT,rms,0.1,0.525,133,80,1.0
hotpotqa_long,42,DT,rms,0.2,0.525,265,80,1.0
hotpotqa_long,42,DT,max,0.05,0.525,67,80,0.8375
hotpotqa_long,42,DT,max,0.1,0.525,133,80,1.0
hotpotqa_long,42,DT,max,0.2,0.525,265,80,1.0
hotpotqa_long,42,FT_K3,raw,0.05,0.2375,67,80,0.8375
hotpotqa_long,42,FT_K3,raw,0.1,0.3375,133,80,1.0
hotpotqa_long,42,FT_K3,raw,0.2,0.4875,265,80,1.0
hotpotqa_long,42,FT_K3,mean,0.05,0.525,67,80,0.8375
hotpotqa_long,42,FT_K3,mean,0.1,0.525,133,80,1.0
hotpotqa_long,42,FT_K3,mean,0.2,0.525,265,80,1.0
