dataset,index,input_sha256,DT_rise,FT_rise,DT_minus_FT_rise,DT_mas,FT_mas,DT_minus_FT_mas,DT_needle,FT_needle,DT_minus_FT_needle
niah_mq_q2,68,20ac6d391999a6d4e3a6118b014bd9ca6d6691f811cf8e2a0e5d88251439a00f,0.053405017921146956,0.02768817204301075,0.025716845878136205,0.06870881606375771,0.12817912758663869,-0.05947031152288097,0.9487179487179487,0.7948717948717948,0.15384615384615385
niah_mq_q2,69,503587b6d83f9226057e71b6ea5f746013ede7ed73888001c02dc06b4a972b1e,0.12542134831460675,0.13860448807854137,-0.01318313976393462,0.16788957010510736,0.2043671174970753,-0.03647754739196796,0.41025641025641024,0.23076923076923078,0.17948717948717946
niah_mq_q2,70,84bf71028a119a1da5e4b6020c85602c7dd9e89fa2582b2cacfcfa68236658f4,0.05261194029850745,0.025,0.02761194029850745,0.08299737112115084,0.12703548174721893,-0.04403811062606809,0.9736842105263158,0.868421052631579,0.10526315789473684
niah_mq_q2,71,5e5091a66c7e56c52c43946120110371ac89e66d7799bca67341e12b3b6a59ea,0.12290575916230366,0.14339005235602095,-0.020484293193717293,0.16322778393461973,0.2153137543886534,-0.05208597045403368,0.37209302325581395,0.2558139534883721,0.11627906976744184
niah_mq_q2,72,fc83bc5d876287a6eb9ef1093714cd59f2443a3a6d89fc0815cdd487ade082b4,0.05440074906367041,0.04208683473389356,0.012313914329776847,0.08389128857973913,0.12490195931843126,-0.041010670738692134,0.975,0.85,0.125
niah_mq_q2,73,9873bfa615116d78c4a7f3f69dd01199d5f239291da2f3fa932f9daa4ec75f5d,0.0933937823834197,0.08012953367875648,0.013264248704663209,0.1296452545866683,0.18484043272491033,-0.05519517813824201,0.4444444444444444,0.25,0.19444444444444442
niah_mq_q2,74,52e3edb9699916ee8fc7ffe9c64554c5a51b394766874bf55632c2f3da46ca5a,0.13642735768903994,0.08858234295415959,0.04784501473488034,0.18398485036955048,0.19123445148947948,-0.007249601119929006,0.42857142857142855,0.16666666666666666,0.26190476190476186
niah_mq_q2,75,8ef0ab70c960f0a0d1b95328dd29768ed0f95dc965714097caf4bc06553b2fde,0.04939777640518839,0.05430289944478717,-0.00490512303959878,0.08411852509381476,0.1438402107609533,-0.059721685667138535,0.9736842105263158,0.8421052631578947,0.13157894736842113
niah_mq_q2,76,7eb395f175f06fac907dea645d89c128c1aaf7b4a528f160737b44d2d3135ce6,0.02833889816360601,0.030592654424040067,-0.002253756260434059,0.046303666563573764,0.12540943649667943,-0.07910576993310567,0.9230769230769231,0.8205128205128205,0.10256410256410264
niah_mq_q2,77,10152057b201b7b5dde9116054605cf0de400243687a5dc24e5c3d675a203f07,0.06769366197183099,0.06769366197183099,0.0,0.11565413767955249,0.18225492252233466,-0.06660078484278217,0.4146341463414634,0.24390243902439024,0.17073170731707316
niah_mq_q2,78,fcd4b2b20097bb05ce1700d80444d8dc1bb27f7aab443d8a08a3f87d0432bac7,0.035927152317880795,0.025,0.010927152317880794,0.050526559497564474,0.13267235109860337,-0.0821457916010389,0.9743589743589743,0.7948717948717948,0.17948717948717952
niah_mq_q2,79,c76f1a3d9ae3f50d5d575a137713677786ccba92172f9043ac13a95161f0c492,0.04562015503875969,0.03523255813953489,0.010387596899224805,0.0638388210083489,0.13643269444178,-0.0725938734334311,0.9743589743589743,0.717948717948718,0.2564102564102564
niah_mq_q2,80,ca09f98452b5bd88703956e43fb71876089ae9cd1d542440a6d8e26e4f3c6704,0.06175417661097852,0.08523809523809525,-0.023483918627116733,0.08156640233598915,0.18556173255438746,-0.10399533021839831,0.425,0.175,0.25
niah_mq_q2,81,f0bae0664883d82d0d037c06ba689a078f6b131694684d074c15e4a7ab3e8749,0.10098039215686276,0.102859477124183,-0.0018790849673202409,0.12158220176097187,0.18406256517314418,-0.06248036341217231,0.46153846153846156,0.20512820512820512,0.25641025641025644
niah_mq_q2,82,bfbadbc8357e05af31c57fd45bceb08d187345507bd234ce85a9dcd6ee78f676,0.05625,0.0928494623655914,-0.0365994623655914,0.09302455514608914,0.1761933212876654,-0.08316876614157627,0.4473684210526316,0.23684210526315788,0.2105263157894737
niah_mq_q2,83,de53499b312cafde385edc055bc988f2253577a6f686d92884de104a58ea07a5,0.10561389337641355,0.09867149758454108,0.006942395791872474,0.1306345838383011,0.18721910970954045,-0.056584525871239355,0.4,0.15,0.25
