dataset,index,method,recall,rise,mas
niah_mq_q2,37,FT_K1,0.2564102564102564,0.125,0.2555912223689881
niah_mq_q2,37,ifr-tokenwise,0.1282051282051282,0.1442090395480226,0.2563034655804849
niah_mq_q2,37,FT_K3,0.3076923076923077,,
niah_mq_q2,38,DT,0.95,0.052445652173913046,0.07453117544178425
niah_mq_q2,38,FT_K1,0.775,0.053260869565217396,0.2490670777719825
niah_mq_q2,38,ifr-tokenwise,0.8,0.057608695652173914,0.24902743989516107
niah_mq_q2,38,FT_K3,0.775,,
niah_mq_q2,39,DT,0.3333333333333333,0.12057291666666667,0.1372621443102266
niah_mq_q2,39,FT_K1,0.2564102564102564,0.10182291666666668,0.2679598957952109
niah_mq_q2,39,ifr-tokenwise,0.20512820512820512,0.11328125,0.2574674710764899
niah_mq_q2,39,FT_K3,0.2564102564102564,,
niah_mq_q2,40,DT,0.8918918918918919,0.09961928934010152,0.14783483655099017
niah_mq_q2,40,FT_K1,0.7567567567567568,0.09657360406091371,0.2521189732320529
niah_mq_q2,40,ifr-tokenwise,0.7567567567567568,0.09809644670050761,0.25145050055593177
niah_mq_q2,40,FT_K3,0.8108108108108109,,
niah_mq_q2,41,DT,0.9473684210526315,0.04357923497267759,0.06948777680140325
niah_mq_q2,41,FT_K1,0.8157894736842105,0.0424863387978142,0.24055906116073889
niah_mq_q2,41,ifr-tokenwise,0.7894736842105263,0.03866120218579235,0.2439221317294881
niah_mq_q2,41,FT_K3,0.8421052631578947,,
niah_mq_q2,42,DT,0.48717948717948717,0.1343220338983051,0.17227992300739142
niah_mq_q2,42,FT_K1,0.3076923076923077,0.10494350282485876,0.2717134778421655
niah_mq_q2,42,ifr-tokenwise,0.20512820512820512,0.12019774011299433,0.25037376907778336
niah_mq_q2,42,FT_K3,0.3076923076923077,,
niah_mq_q2,43,DT,0.41025641025641024,0.1339189189189189,0.16469165174382078
niah_mq_q2,43,FT_K1,0.2564102564102564,0.11148648648648647,0.2658994423484471
