dataset,released_task_count,method,RISE,MAS,Recovery,RecoveryBudgetFraction,RecoveryMetric,RecoveryBudgetUnit,RecoveryTargetMode,RecoveryAttributionVariant,RecoveryProtocol
vt_h4_c1,100,DT,0.10991299976379534,0.14513656354617108,0.7132782168756069,0.1,body_token_recall,eligible_body_tokens,answer_only,DT,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,100,Perturbation,0.45843054175176084,0.6836605801733459,0.3357456448431278,0.2,body_token_recall,eligible_body_tokens,answer_only,Perturbation,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,100,REAGENT,0.48596486865637595,0.7452971527816697,0.3247010892093769,0.2,body_token_recall,eligible_body_tokens,answer_only,REAGENT,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,100,CLP,0.42245786565908994,0.5648384264462925,0.3385196611195446,0.2,body_token_recall,eligible_body_tokens,answer_only,CLP,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,100,IFR,0.12453668676283255,0.17274315474587104,0.8373865598376904,0.2,body_token_recall,eligible_body_tokens,answer_only,IFR,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,100,AttnLRP,0.3377602668202493,0.5723416648522275,0.8457088552409476,0.2,body_token_recall,eligible_body_tokens,answer_only,AttnLRP,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,100,FT,0.12244432407093879,0.17868011505693246,0.8214540424149122,0.2,body_token_recall,eligible_body_tokens,answer_only,FT_K3,user-selected-vt-budgets-10-10-20-30-v1
vt_h6_c1,100,DT,0.11446931626310418,0.14834495845539528,0.9204822773996983,0.2,body_token_recall,eligible_body_tokens,answer_only,DT,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,100,Perturbation,0.4663173946381782,0.7013145935276089,0.40698306212363156,0.3,body_token_recall,eligible_body_tokens,answer_only,Perturbation,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,100,REAGENT,0.4952616507601194,0.7404921724829001,0.42477821225184575,0.3,body_token_recall,eligible_body_tokens,answer_only,REAGENT,user-selected-vt-budgets-10-10-20-30-v1
