dataset,index,method,view,fraction,recall,budget,gold,ceiling
vt_h2_c3,59,DT_mean,density,0.1,1.0,33,27,1.0
vt_h2_c3,59,DT_mean,density,0.2,1.0,66,27,1.0
vt_h2_c3,59,FT_K1,raw,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,FT_K1,raw,0.1,0.7777777777777778,33,27,1.0
vt_h2_c3,59,FT_K1,raw,0.2,0.9629629629629629,66,27,1.0
vt_h2_c3,59,FT_K1,density,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,FT_K1,density,0.1,1.0,33,27,1.0
vt_h2_c3,59,FT_K1,density,0.2,1.0,66,27,1.0
vt_h2_c3,59,FT_K3,raw,0.05,0.5925925925925926,17,27,0.6296296296296297
vt_h2_c3,59,FT_K3,raw,0.1,0.7777777777777778,33,27,1.0
vt_h2_c3,59,FT_K3,raw,0.2,0.9629629629629629,66,27,1.0
vt_h2_c3,59,FT_K3,density,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,FT_K3,density,0.1,1.0,33,27,1.0
vt_h2_c3,59,FT_K3,density,0.2,1.0,66,27,1.0
vt_h2_c3,66,DT_eos,raw,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT_eos,raw,0.1,0.8387096774193549,34,31,1.0
vt_h2_c3,66,DT_eos,raw,0.2,0.967741935483871,67,31,1.0
vt_h2_c3,66,DT_eos,density,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT_eos,density,0.1,1.0,34,31,1.0
vt_h2_c3,66,DT_eos,density,0.2,1.0,67,31,1.0
vt_h2_c3,66,DT_space,raw,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT_space,raw,0.1,0.8387096774193549,34,31,1.0
vt_h2_c3,66,DT_space,raw,0.2,1.0,67,31,1.0
vt_h2_c3,66,DT_space,density,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT_space,density,0.1,1.0,34,31,1.0
vt_h2_c3,66,DT_space,density,0.2,1.0,67,31,1.0
vt_h2_c3,66,DT_mean,raw,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT_mean,raw,0.1,0.8387096774193549,34,31,1.0
vt_h2_c3,66,DT_mean,raw,0.2,1.0,67,31,1.0
vt_h2_c3,66,DT_mean,density,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT_mean,density,0.1,1.0,34,31,1.0
vt_h2_c3,66,DT_mean,density,0.2,1.0,67,31,1.0
vt_h2_c3,66,FT_K1,raw,0.05,0.5161290322580645,17,31,0.5483870967741935
vt_h2_c3,66,FT_K1,raw,0.1,0.8387096774193549,34,31,1.0
vt_h2_c3,66,FT_K1,raw,0.2,0.9032258064516129,67,31,1.0
