task,index,dt_rise,ft_rise,delta,dt_positive_rise,signed_minus_positive,dt_recall,ft_k3_recall,dt_mas,ft_mas,prompt_length,target_length,eligible_count,gold_count,positive_fraction,negative_fraction,gold_positive_fraction,root_effect,relative_residual,max_replay_l2,score_full,score_deleted,endpoint_gap,dt_zero_step,ft_zero_step,dt_y_1,ft_y_1,dt_deleted_gold_1,ft_deleted_gold_1,dt_negative_deleted_1,dt_y_2,ft_y_2,dt_deleted_gold_2,ft_deleted_gold_2,dt_negative_deleted_2,dt_y_4,ft_y_4,dt_deleted_gold_4,ft_deleted_gold_4,dt_negative_deleted_4,dt_y_10,ft_y_10,dt_deleted_gold_10,ft_deleted_gold_10,dt_negative_deleted_10
niah_mq_q4,51,0.10845864661654137,0.08909774436090226,0.019360902255639106,0.10845864661654137,0.0,0.5384615384615384,0.47435897435897434,0.13833691376191096,0.2361782924204879,955,384,858,78,0.5291375291375291,0.47086247086247085,0.9743589743589743,266.43843530749945,9.870298628903122e-05,0.0,-144.0,-410.0,266.0,7,10,0.6541353383458647,0.6353383458646616,0.28205128205128205,0.19230769230769232,0,0.3609022556390977,0.2932330827067669,0.5384615384615384,0.46153846153846156,0,0.18796992481203006,0.08270676691729323,0.7948717948717948,0.782051282051282,0,0.0,0.0,0.9743589743589743,0.8974358974358975,0
niah_mq_q4,52,0.27491181657848324,0.24651675485008817,0.028395061728395066,0.27491181657848324,0.0,0.19753086419753085,0.16049382716049382,0.4046220407071214,0.31900166097833965,356,415,305,81,0.7147540983606557,0.28524590163934427,0.9629629629629629,283.31512394394474,-0.0021182211077924833,0.0,-106.5,-390.0,283.5,13,16,0.8218694885361552,0.8606701940035273,0.1111111111111111,0.04938271604938271,0,0.7619047619047619,0.7689594356261023,0.20987654320987653,0.13580246913580246,0,0.6102292768959435,0.5784832451499118,0.43209876543209874,0.3333333333333333,0,0.18342151675485008,0.10582010582010581,0.8641975308641975,0.7901234567901234,0
niah_mq_q4,53,0.2889928698752228,0.24353832442067738,0.04545454545454544,0.2889928698752228,0.0,0.23076923076923078,0.15384615384615385,0.4199032351078177,0.30353848967304536,347,387,296,78,0.6925675675675675,0.30743243243243246,0.9743589743589743,281.83996520351,0.001448291788609786,0.0,-125.5,-406.0,280.5,13,14,0.9126559714795008,0.7914438502673797,0.11538461538461539,0.05128205128205128,0,0.8021390374331551,0.7130124777183601,0.23076923076923078,0.1282051282051282,0,0.5846702317290553,0.5882352941176471,0.41025641025641024,0.3076923076923077,0,0.16399286987522282,0.09982174688057041,0.9102564102564102,0.717948717948718,0
niah_mq_q4,54,0.28377483443708607,0.2548013245033113,0.028973509933774788,0.28211920529801326,0.0016556291390728006,0.16455696202531644,0.16455696202531644,0.41168293016164714,0.3074140919955809,351,396,299,79,0.7090301003344481,0.2909698996655518,0.9746835443037974,302.02327915868955,0.0014243640167327463,0.0,-118.0,-420.0,302.0,20,17,0.8807947019867549,0.8377483443708609,0.08860759493670886,0.05063291139240506,0,0.7417218543046358,0.7880794701986755,0.16455696202531644,0.12658227848101267,0,0.5662251655629139,0.5695364238410596,0.3924050632911392,0.35443037974683544,0,0.17880794701986755,0.09933774834437085,0.8734177215189873,0.7088607594936709,0
niah_mq_q4,55,0.1526173285198556,0.09359205776173285,0.05902527075812275,0.14828519855595668,0.004332129963898923,0.4936708860759494,0.43037974683544306,0.21168454349112661,0.2579157423881419,958,412,861,79,0.5261324041811847,0.4738675958188153,0.9113924050632911,278.5028243459499,0.0005945042318553791,0.0,-125.0,-402.0,277.0,20,14,0.6823104693140795,0.6859205776173285,0.31645569620253167,0.20253164556962025,0,0.4620938628158845,0.4043321299638989,0.4936708860759494,0.43037974683544306,0,0.33212996389891697,0.08664259927797834,0.7721518987341772,0.7848101265822784,0,0.02888086642599278,0.007220216606498195,0.8987341772151899,0.9493670886075949,0
niah_mq_q4,56,0.29489436619718307,0.236443661971831,0.05845070422535206,0.29489436619718307,0.0,0.25,0.125,0.4378381833113962,0.2903842547151052,353,378,302,80,0.6655629139072847,0.3344370860927152,0.9375,284.8021700817276,3.143613841884397e-05,0.0,-120.0,-404.0,284.0,14,16,0.9049295774647887,0.8309859154929577,0.1375,0.05,0,0.7746478873239436,0.7323943661971831,0.25,0.1375,0,0.6197183098591549,0.5070422535211268,0.4,0.3125,0,0.18309859154929578,0.09154929577464789,0.85,0.7625,0
niah_mq_q4,57,0.1369926199261992,0.07739852398523986,0.05959409594095935,0.13404059040590405,0.002952029520295163,0.5394736842105263,0.5,0.182645312421218,0.24669509221886293,949,411,852,76,0.5305164319248826,0.4694835680751174,0.9078947368421053,270.7788648947783,0.0036746725337351927,0.0,-135.0,-406.0,271.0,18,5,0.6974169741697417,0.6642066420664207,0.3026315789473684,0.19736842105263158,0,0.4944649446494465,0.28044280442804426,0.5394736842105263,0.5131578947368421,0,0.2656826568265683,0.05166051660516605,0.7631578947368421,0.8026315789473685,0,0.014760147601476014,0.0,0.9078947368421053,0.9473684210526315,0
niah_mq_q4,58,0.1673507462686567,0.0917910447761194,0.07555970149253731,0.16473880597014923,0.0026119402985074758,0.65,0.5625,0.25000497787985926,0.24313754964409545,961,380,864,80,0.5578703703703703,0.44212962962962965,0.9875,266.54080340270946,-0.002075955407900611,0.0,-132.0,-400.0,268.0,17,14,0.667910447761194,0.7089552238805971,0.375,0.2375,0,0.5298507462686567,0.29850746268656714,0.6625,0.55,0,0.3358208955223881,0.09701492537313433,0.9,0.825,0,0.07462686567164178,0.007462686567164179,0.9875,0.9125,0
niah_mq_q4,59,0.1291958041958042,0.09982517482517483,0.02937062937062937,0.1291958041958042,0.0,0.5443037974683544,0.4430379746835443,0.17444714537038514,0.24915442703176,958,506,861,79,0.5296167247386759,0.47038327526132406,0.9620253164556962,287.1243560827867,0.002077225741552372,0.0,-186.0,-472.0,286.0,10,15,0.7132867132867133,0.6783216783216783,0.3037974683544304,0.1518987341772152,0,0.5384615384615384,0.3776223776223776,0.5443037974683544,0.4177215189873418,0,0.24475524475524477,0.04895104895104895,0.8354430379746836,0.7974683544303798,0,0.0,0.03496503496503497,0.9620253164556962,0.8481012658227848,0
niah_mq_q4,60,0.14600977198697068,0.11311074918566777,0.03289902280130291,0.14796416938110749,-0.001954397394136803,0.5316455696202531,0.46835443037974683,0.21307545845400244,0.24317112104905897,958,330,861,79,0.519163763066202,0.4808362369337979,0.9367088607594937,305.88778367420645,-0.0010274922747943898,0.0,-121.0,-428.0,307.0,20,20,0.7133550488599348,0.7263843648208469,0.2911392405063291,0.189873417721519,0,0.5211726384364821,0.3257328990228013,0.5316455696202531,0.4430379746835443,0,0.3257328990228013,0.09771986970684039,0.8354430379746836,0.7721518987341772,0,0.019543973941368076,0.026058631921824105,0.9367088607594937,0.9367088607594937,0
