task,index,query_tokens,intro_tokens,dt_query_fraction_deleted_1,dt_query_count_deleted_1,dt_intro_fraction_deleted_1,dt_intro_count_deleted_1,dt_gold_fraction_deleted_1,dt_gold_count_deleted_1,dt_query_fraction_deleted_2,dt_query_count_deleted_2,dt_intro_fraction_deleted_2,dt_intro_count_deleted_2,dt_gold_fraction_deleted_2,dt_gold_count_deleted_2,dt_query_fraction_deleted_4,dt_query_count_deleted_4,dt_intro_fraction_deleted_4,dt_intro_count_deleted_4,dt_gold_fraction_deleted_4,dt_gold_count_deleted_4,dt_query_fraction_deleted_5,dt_query_count_deleted_5,dt_intro_fraction_deleted_5,dt_intro_count_deleted_5,dt_gold_fraction_deleted_5,dt_gold_count_deleted_5,dt_query_fraction_deleted_10,dt_query_count_deleted_10,dt_intro_fraction_deleted_10,dt_intro_count_deleted_10,dt_gold_fraction_deleted_10,dt_gold_count_deleted_10,ft_query_fraction_deleted_1,ft_query_count_deleted_1,ft_intro_fraction_deleted_1,ft_intro_count_deleted_1,ft_gold_fraction_deleted_1,ft_gold_count_deleted_1,ft_query_fraction_deleted_2,ft_query_count_deleted_2,ft_intro_fraction_deleted_2,ft_intro_count_deleted_2,ft_gold_fraction_deleted_2,ft_gold_count_deleted_2,ft_query_fraction_deleted_4,ft_query_count_deleted_4,ft_intro_fraction_deleted_4,ft_intro_count_deleted_4,ft_gold_fraction_deleted_4,ft_gold_count_deleted_4,ft_query_fraction_deleted_5,ft_query_count_deleted_5,ft_intro_fraction_deleted_5,ft_intro_count_deleted_5,ft_gold_fraction_deleted_5,ft_gold_count_deleted_5,ft_query_fraction_deleted_10,ft_query_count_deleted_10,ft_intro_fraction_deleted_10,ft_intro_count_deleted_10,ft_gold_fraction_deleted_10,ft_gold_count_deleted_10
niah_mq_q4,5,53,24,0.2830188679245283,15,0.25,6,0.2727272727272727,21,0.5471698113207547,29,0.375,9,0.5454545454545454,42,0.7924528301886793,42,0.6666666666666666,16,0.8961038961038961,69,0.9056603773584906,48,0.7083333333333334,17,0.974025974025974,75,0.9622641509433962,51,0.75,18,0.987012987012987,76,0.49056603773584906,26,0.08333333333333333,2,0.18181818181818182,14,0.8490566037735849,45,0.20833333333333334,5,0.45454545454545453,35,1.0,53,0.5833333333333334,14,0.7922077922077922,61,1.0,53,0.7083333333333334,17,0.8181818181818182,63,1.0,53,0.9583333333333334,23,0.922077922077922,71
niah_mq_q4,6,51,24,0.27450980392156865,14,0.20833333333333334,5,0.3026315789473684,23,0.5490196078431373,28,0.2916666666666667,7,0.5789473684210527,44,0.803921568627451,41,0.5,12,0.8552631578947368,65,0.8823529411764706,45,0.5416666666666666,13,0.9342105263157895,71,0.9411764705882353,48,0.6666666666666666,16,0.9605263157894737,73,0.5098039215686274,26,0.08333333333333333,2,0.18421052631578946,14,0.8627450980392157,44,0.20833333333333334,5,0.47368421052631576,36,1.0,51,0.5833333333333334,14,0.7631578947368421,58,1.0,51,0.6666666666666666,16,0.7631578947368421,58,1.0,51,0.9583333333333334,23,0.9210526315789473,70
niah_mq_q4,7,57,24,0.17543859649122806,10,0.20833333333333334,5,0.3291139240506329,26,0.3684210526315789,21,0.375,9,0.6329113924050633,50,0.6491228070175439,37,0.6666666666666666,16,0.8860759493670886,70,0.7719298245614035,44,0.6666666666666666,16,0.9367088607594937,74,0.9122807017543859,52,0.75,18,0.9873417721518988,78,0.3684210526315789,21,0.08333333333333333,2,0.25316455696202533,20,0.6666666666666666,38,0.16666666666666666,4,0.5569620253164557,44,0.9649122807017544,55,0.625,15,0.7974683544303798,63,1.0,57,0.7083333333333334,17,0.8481012658227848,67,1.0,57,0.9583333333333334,23,0.9113924050632911,72
niah_mq_q4,8,55,24,0.16363636363636364,9,0.25,6,0.34615384615384615,27,0.4727272727272727,26,0.4166666666666667,10,0.5384615384615384,42,0.6545454545454545,36,0.7083333333333334,17,0.8333333333333334,65,0.7454545454545455,41,0.7083333333333334,17,0.8717948717948718,68,0.9454545454545454,52,0.7916666666666666,19,0.9487179487179487,74,0.3090909090909091,17,0.08333333333333333,2,0.2948717948717949,23,0.6363636363636364,35,0.08333333333333333,2,0.6153846153846154,48,0.9454545454545454,52,0.5,12,0.8333333333333334,65,0.9818181818181818,54,0.6666666666666666,16,0.8589743589743589,67,1.0,55,0.9583333333333334,23,0.8974358974358975,70
niah_mq_q4,9,55,24,0.21818181818181817,12,0.20833333333333334,5,0.32051282051282054,25,0.509090909090909,28,0.2916666666666667,7,0.6025641025641025,47,0.7818181818181819,43,0.5833333333333334,14,0.8461538461538461,66,0.8363636363636363,46,0.625,15,0.9102564102564102,71,0.9636363636363636,53,0.625,15,0.9615384615384616,75,0.4727272727272727,26,0.041666666666666664,1,0.19230769230769232,15,0.7818181818181819,43,0.16666666666666666,4,0.48717948717948717,38,1.0,55,0.625,15,0.782051282051282,61,1.0,55,0.7083333333333334,17,0.8076923076923077,63,1.0,55,1.0,24,0.9102564102564102,71
niah_mq_q4,10,55,24,0.2545454545454545,14,0.20833333333333334,5,0.2948717948717949,23,0.4727272727272727,26,0.3333333333333333,8,0.5256410256410257,41,0.6909090909090909,38,0.5,12,0.8333333333333334,65,0.8,44,0.5833333333333334,14,0.8717948717948718,68,0.9272727272727272,51,0.8333333333333334,20,0.9615384615384616,75,0.4909090909090909,27,0.041666666666666664,1,0.19230769230769232,15,0.7636363636363637,42,0.20833333333333334,5,0.48717948717948717,38,0.9636363636363636,53,0.5416666666666666,13,0.7564102564102564,59,1.0,55,0.7083333333333334,17,0.8333333333333334,65,1.0,55,0.9583333333333334,23,0.8974358974358975,70
niah_mq_q4,11,53,24,0.18867924528301888,10,0.25,6,0.35064935064935066,27,0.4528301886792453,24,0.3333333333333333,8,0.5584415584415584,43,0.7169811320754716,38,0.6666666666666666,16,0.8441558441558441,65,0.7358490566037735,39,0.7083333333333334,17,0.8701298701298701,67,0.9056603773584906,48,0.8333333333333334,20,0.9090909090909091,70,0.4339622641509434,23,0.08333333333333333,2,0.23376623376623376,18,0.7169811320754716,38,0.25,6,0.5454545454545454,42,0.9245283018867925,49,0.5416666666666666,13,0.8311688311688312,64,0.9811320754716981,52,0.75,18,0.8701298701298701,67,1.0,53,0.9583333333333334,23,0.948051948051948,73
niah_mq_q4,12,59,24,0.06779661016949153,4,0.08333333333333333,2,0.125,10,0.13559322033898305,8,0.16666666666666666,4,0.2375,19,0.288135593220339,17,0.25,6,0.45,36,0.3559322033898305,21,0.3333333333333333,8,0.5375,43,0.7796610169491526,46,0.625,15,0.9,72,0.2033898305084746,12,0.041666666666666664,1,0.0375,3,0.3050847457627119,18,0.08333333333333333,2,0.15,12,0.5423728813559322,32,0.20833333333333334,5,0.2875,23,0.6271186440677966,37,0.25,6,0.375,30,0.9152542372881356,54,0.5833333333333334,14,0.7125,57
niah_mq_q4,13,51,24,0.23529411764705882,12,0.25,6,0.32894736842105265,25,0.5686274509803921,29,0.3333333333333333,8,0.5394736842105263,41,0.7843137254901961,40,0.625,15,0.7763157894736842,59,0.8627450980392157,44,0.75,18,0.868421052631579,66,0.9803921568627451,50,0.875,21,0.9473684210526315,72,0.49019607843137253,25,0.08333333333333333,2,0.19736842105263158,15,0.803921568627451,41,0.25,6,0.4868421052631579,37,0.9803921568627451,50,0.5833333333333334,14,0.7894736842105263,60,1.0,51,0.6666666666666666,16,0.8289473684210527,63,1.0,51,0.9583333333333334,23,0.9342105263157895,71
niah_mq_q4,14,55,24,0.09090909090909091,5,0.08333333333333333,2,0.10256410256410256,8,0.21818181818181817,12,0.16666666666666666,4,0.1794871794871795,14,0.36363636363636365,20,0.2916666666666667,7,0.3974358974358974,31,0.4,22,0.3333333333333333,8,0.5256410256410257,41,0.8,44,0.7083333333333334,17,0.8974358974358975,70,0.23636363636363636,13,0.0,0,0.02564102564102564,2,0.3090909090909091,17,0.08333333333333333,2,0.14102564102564102,11,0.5454545454545454,30,0.16666666666666666,4,0.32051282051282054,25,0.6727272727272727,37,0.16666666666666666,4,0.4230769230769231,33,0.9454545454545454,52,0.5833333333333334,14,0.7948717948717948,62
