dataset,index,source_start,source_end,DT,DT_source,DT_query_budget_fraction,DT_instruction_budget_fraction,DT_source_gain,source_eligible,budget,ceiling,FT,FT_source,FT_query_budget_fraction,FT_instruction_budget_fraction,FT_source_gain
niah_mq_q2,35,138,4277,0.9736842105263158,1.0,0.3333333333333333,0.16091954022988506,0.02631578947368418,800,87,1.0,0.9210526315789473,0.9473684210526315,0.4367816091954023,0.05747126436781609,0.02631578947368418
niah_mq_q2,36,138,1320,0.42857142857142855,0.7380952380952381,0.28125,0.125,0.3095238095238096,245,32,0.7619047619047619,0.19047619047619047,0.6428571428571429,0.71875,0.03125,0.45238095238095244
niah_mq_q2,37,138,1322,0.46153846153846156,0.7692307692307693,0.2903225806451613,0.12903225806451613,0.3076923076923077,242,31,0.7948717948717948,0.28205128205128205,0.717948717948718,0.6129032258064516,0.03225806451612903,0.4358974358974359
niah_mq_q2,38,138,4274,1.0,1.0,0.2988505747126437,0.13793103448275862,0.0,802,87,1.0,0.75,0.925,0.4827586206896552,0.05747126436781609,0.17500000000000004
niah_mq_q2,39,138,1311,0.41025641025641024,0.7692307692307693,0.2903225806451613,0.16129032258064516,0.35897435897435903,242,31,0.7948717948717948,0.15384615384615385,0.6923076923076923,0.7096774193548387,0.03225806451612903,0.5384615384615384
niah_mq_q2,40,138,4274,0.9459459459459459,1.0,0.32558139534883723,0.18604651162790697,0.05405405405405406,799,86,1.0,0.8378378378378378,0.9459459459459459,0.43023255813953487,0.06976744186046512,0.10810810810810811
niah_mq_q2,41,138,4268,0.9473684210526315,1.0,0.26436781609195403,0.14942528735632185,0.052631578947368474,800,87,1.0,0.7894736842105263,0.9473684210526315,0.4367816091954023,0.06896551724137931,0.1578947368421052
niah_mq_q2,42,138,1319,0.5,0.75,0.22580645161290322,0.12903225806451613,0.25,243,31,0.775,0.175,0.675,0.6774193548387096,0.03225806451612903,0.5
niah_mq_q2,43,138,1313,0.41025641025641024,0.7692307692307693,0.3548387096774194,0.12903225806451613,0.35897435897435903,242,31,0.7948717948717948,0.20512820512820512,0.717948717948718,0.7096774193548387,0.03225806451612903,0.5128205128205128
niah_mq_q2,44,138,1323,0.4146341463414634,0.7804878048780488,0.3125,0.15625,0.3658536585365854,244,32,0.7804878048780488,0.21951219512195122,0.6829268292682927,0.6875,0.03125,0.46341463414634154
niah_mq_q2,45,138,1315,0.45,0.725,0.25806451612903225,0.16129032258064516,0.27499999999999997,243,31,0.775,0.275,0.7,0.5806451612903226,0.03225806451612903,0.42499999999999993
niah_mq_q2,46,138,4265,0.9736842105263158,1.0,0.27586206896551724,0.16091954022988506,0.02631578947368418,800,87,1.0,0.8157894736842105,0.9210526315789473,0.4367816091954023,0.05747126436781609,0.10526315789473684
niah_mq_q2,47,138,4270,0.9743589743589743,1.0,0.3218390804597701,0.16091954022988506,0.02564102564102566,801,87,1.0,0.8205128205128205,0.9230769230769231,0.47126436781609193,0.05747126436781609,0.10256410256410264
niah_mq_q2,48,138,4268,0.975609756097561,1.0,0.3068181818181818,0.18181818181818182,0.024390243902439046,803,88,1.0,0.7804878048780488,0.975609756097561,0.48863636363636365,0.056818181818181816,0.19512195121951215
niah_mq_q2,49,138,4266,0.9736842105263158,1.0,0.3333333333333333,0.16091954022988506,0.02631578947368418,800,87,1.0,0.7894736842105263,0.9210526315789473,0.4482758620689655,0.06896551724137931,0.13157894736842102
niah_mq_q2,50,138,1321,0.40476190476190477,0.7380952380952381,0.34375,0.125,0.33333333333333337,245,32,0.7619047619047619,0.23809523809523808,0.6666666666666666,0.625,0.03125,0.42857142857142855
niah_mq_q2,51,138,1320,0.43902439024390244,0.7560975609756098,0.25,0.1875,0.3170731707317073,244,32,0.7804878048780488,0.1951219512195122,0.6585365853658537,0.65625,0.03125,0.4634146341463415
niah_mq_q2,52,138,4273,0.9743589743589743,0.9743589743589743,0.3333333333333333,0.14942528735632185,0.0,801,87,1.0,0.7948717948717948,0.9230769230769231,0.47126436781609193,0.05747126436781609,0.1282051282051283
niah_mq_q2,53,138,4272,0.9743589743589743,1.0,0.2988505747126437,0.12643678160919541,0.02564102564102566,801,87,1.0,0.8461538461538461,0.9230769230769231,0.47126436781609193,0.04597701149425287,0.07692307692307698
niah_mq_q2,54,138,4272,0.9736842105263158,0.9736842105263158,0.26436781609195403,0.14942528735632185,0.0,800,87,1.0,0.8421052631578947,0.8947368421052632,0.4367816091954023,0.05747126436781609,0.052631578947368474
niah_mq_q2,55,138,1320,0.375,0.75,0.3548387096774194,0.16129032258064516,0.375,243,31,0.775,0.175,0.675,0.7419354838709677,0.03225806451612903,0.5
niah_mq_q2,56,138,1306,0.4473684210526316,0.7894736842105263,0.3225806451612903,0.12903225806451613,0.34210526315789475,241,31,0.8157894736842105,0.15789473684210525,0.6578947368421053,0.7741935483870968,0.03225806451612903,0.5
niah_mq_q2,57,138,1315,0.4358974358974359,0.7692307692307693,0.2903225806451613,0.16129032258064516,0.33333333333333337,242,31,0.7948717948717948,0.20512820512820512,0.717948717948718,0.6774193548387096,0.03225806451612903,0.5128205128205128
niah_mq_q2,58,138,4271,0.9487179487179487,1.0,0.28735632183908044,0.16091954022988506,0.05128205128205132,801,87,1.0,0.717948717948718,0.9487179487179487,0.45977011494252873,0.06896551724137931,0.23076923076923073
niah_mq_q2,59,138,1315,0.4358974358974359,0.7692307692307693,0.2903225806451613,0.16129032258064516,0.33333333333333337,242,31,0.7948717948717948,0.20512820512820512,0.717948717948718,0.6774193548387096,0.03225806451612903,0.5128205128205128
niah_mq_q2,60,138,1323,0.46511627906976744,0.7441860465116279,0.25,0.125,0.27906976744186046,246,32,0.7441860465116279,0.20930232558139536,0.6976744186046512,0.65625,0.03125,0.4883720930232558
niah_mq_q2,61,138,4267,0.9743589743589743,0.9743589743589743,0.3333333333333333,0.14942528735632185,0.0,801,87,1.0,0.8205128205128205,0.8974358974358975,0.45977011494252873,0.05747126436781609,0.07692307692307698
niah_mq_q2,62,138,4286,0.8974358974358975,0.9487179487179487,0.27586206896551724,0.14942528735632185,0.05128205128205121,801,87,1.0,0.8461538461538461,0.9487179487179487,0.45977011494252873,0.05747126436781609,0.10256410256410253
niah_mq_q2,63,138,4266,0.9743589743589743,1.0,0.28735632183908044,0.1839080459770115,0.02564102564102566,801,87,1.0,0.7435897435897436,0.9487179487179487,0.45977011494252873,0.04597701149425287,0.20512820512820507
niah_mq_q2,64,138,1311,0.358974358974359,0.7692307692307693,0.3870967741935484,0.16129032258064516,0.4102564102564103,242,31,0.7948717948717948,0.23076923076923078,0.717948717948718,0.6451612903225806,0.03225806451612903,0.48717948717948717
niah_mq_q2,65,138,4273,0.9736842105263158,1.0,0.3218390804597701,0.14942528735632185,0.02631578947368418,800,87,1.0,0.868421052631579,0.8947368421052632,0.4482758620689655,0.05747126436781609,0.02631578947368418
niah_mq_q2,66,138,1329,0.36363636363636365,0.7272727272727273,0.36363636363636365,0.12121212121212122,0.36363636363636365,247,33,0.75,0.1590909090909091,0.6818181818181818,0.7272727272727273,0.030303030303030304,0.5227272727272727
niah_mq_q2,67,138,1312,0.358974358974359,0.7692307692307693,0.41935483870967744,0.12903225806451613,0.4102564102564103,242,31,0.7948717948717948,0.23076923076923078,0.717948717948718,0.6774193548387096,0.03225806451612903,0.48717948717948717
niah_mq_q2,68,138,4267,0.9487179487179487,0.9743589743589743,0.2413793103448276,0.16091954022988506,0.02564102564102566,801,87,1.0,0.7948717948717948,0.8717948717948718,0.45977011494252873,0.06896551724137931,0.07692307692307698
niah_mq_q2,69,138,1305,0.41025641025641024,0.6923076923076923,0.1935483870967742,0.1935483870967742,0.28205128205128205,242,31,0.7948717948717948,0.23076923076923078,0.6666666666666666,0.6129032258064516,0.03225806451612903,0.43589743589743585
niah_mq_q2,70,138,4270,0.9736842105263158,1.0,0.28735632183908044,0.1724137931034483,0.02631578947368418,800,87,1.0,0.868421052631579,0.9473684210526315,0.4367816091954023,0.05747126436781609,0.07894736842105254
niah_mq_q2,71,138,1321,0.37209302325581395,0.7209302325581395,0.3125,0.15625,0.34883720930232553,246,32,0.7441860465116279,0.2558139534883721,0.6511627906976745,0.625,0.0,0.39534883720930236
niah_mq_q2,72,138,4267,0.975,0.975,0.2413793103448276,0.16091954022988506,0.0,802,87,1.0,0.85,0.975,0.4827586206896552,0.05747126436781609,0.125
