dataset,index,subset,DT,FT,ceiling,DT_sentence_positive,DT_sentence_absolute,FT_sentence_positive,shuffled_DT_sentence,demo_eligible,scope_start_character,DT_scope,DT_scope_sentence,DT_scope_recomputed_budget,scope_eligible,scope_recomputed_budget,FT_scope,FT_scope_sentence,FT_scope_recomputed_budget,DT_demo_budget_fraction,DT_question_budget_fraction,FT_demo_budget_fraction,FT_question_budget_fraction,DT_sentence_positive_demo_budget_fraction,DT_sentence_positive_question_budget_fraction,DT_sentence_absolute_demo_budget_fraction,DT_sentence_absolute_question_budget_fraction,answer_gold_tokens,other_gold_tokens,DT_answer_recall,DT_other_recall,DT_span_any,DT_span_half,FT_answer_recall,FT_other_recall,FT_span_any,FT_span_half,DT_sentence_positive_answer_recall,DT_sentence_positive_other_recall,DT_sentence_positive_span_any,DT_sentence_positive_span_half,DT_sentence_absolute_answer_recall,DT_sentence_absolute_other_recall,DT_sentence_absolute_span_any,DT_sentence_absolute_span_half
vt_h2_c3,45,odd,0.6666666666666666,0.7333333333333333,1.0,1.0,1.0,1.0,0.0,420,1823,0.9666666666666667,1.0,0.7,398,40,0.9666666666666667,1.0,0.6,0.5365853658536586,0.17073170731707318,0.2926829268292683,0.34146341463414637,0.6341463414634146,0.0,0.6341463414634146,0.0,10,20,0.9,0.55,1.0,0.6666666666666666,0.9,0.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vt_h2_c3,46,even,0.42857142857142855,0.6785714285714286,1.0,0.6785714285714286,0.6785714285714286,1.0,0.35714285714285715,420,1823,0.7142857142857143,1.0,0.35714285714285715,396,40,0.7857142857142857,1.0,0.4642857142857143,0.3902439024390244,0.0975609756097561,0.17073170731707318,0.24390243902439024,0.3048780487804878,0.0,0.3048780487804878,0.0,9,19,0.8888888888888888,0.21052631578947367,1.0,0.3333333333333333,1.0,0.5263157894736842,1.0,1.0,0.6666666666666666,0.6842105263157895,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6842105263157895,0.6666666666666666,0.6666666666666666
vt_h2_c3,47,odd,0.38461538461538464,0.6538461538461539,1.0,0.34615384615384615,0.34615384615384615,1.0,0.0,420,1823,0.6153846153846154,1.0,0.34615384615384615,394,40,0.7307692307692307,1.0,0.4230769230769231,0.36585365853658536,0.10975609756097561,0.1951219512195122,0.2682926829268293,0.5609756097560976,0.0,0.32926829268292684,0.0,8,18,0.875,0.16666666666666666,1.0,0.3333333333333333,0.875,0.5555555555555556,1.0,0.6666666666666666,0.25,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.25,0.3888888888888889,0.3333333333333333,0.3333333333333333
vt_h2_c3,48,even,0.6428571428571429,0.7857142857142857,1.0,0.6785714285714286,0.6785714285714286,1.0,0.0,417,1823,0.7857142857142857,0.9285714285714286,0.42857142857142855,396,40,0.8928571428571429,1.0,0.6071428571428571,0.3780487804878049,0.06097560975609756,0.21951219512195122,0.24390243902439024,0.2926829268292683,0.0,0.2926829268292683,0.0,9,19,0.8888888888888888,0.5263157894736842,1.0,0.6666666666666666,1.0,0.6842105263157895,1.0,1.0,0.6666666666666666,0.6842105263157895,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6842105263157895,0.6666666666666666,0.6666666666666666
vt_h2_c3,49,odd,0.7142857142857143,0.6428571428571429,1.0,1.0,1.0,0.5,0.32142857142857145,420,1823,1.0,1.0,0.6428571428571429,394,40,0.7857142857142857,1.0,0.5,0.47560975609756095,0.1951219512195122,0.3048780487804878,0.3780487804878049,0.6585365853658537,0.0,0.5365853658536586,0.0,9,19,1.0,0.5789473684210527,1.0,1.0,0.7777777777777778,0.5789473684210527,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vt_h2_c3,50,even,0.5925925925925926,0.7407407407407407,1.0,1.0,1.0,0.6296296296296297,0.0,423,1823,0.8518518518518519,1.0,0.5925925925925926,396,40,0.8518518518518519,1.0,0.5555555555555556,0.5,0.18292682926829268,0.2682926829268293,0.3780487804878049,0.6707317073170732,0.0,0.5365853658536586,0.0,8,19,1.0,0.42105263157894735,1.0,1.0,1.0,0.631578947368421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vt_h2_c3,51,odd,0.37037037037037035,0.6666666666666666,1.0,1.0,1.0,0.6296296296296297,0.3333333333333333,420,1823,0.7407407407407407,1.0,0.37037037037037035,395,40,0.7407407407407407,0.6296296296296297,0.4074074074074074,0.3902439024390244,0.08536585365853659,0.18292682926829268,0.24390243902439024,0.2926829268292683,0.0,0.2926829268292683,0.0,8,19,1.0,0.10526315789473684,1.0,0.0,0.75,0.631578947368421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vt_h2_c3,52,even,0.3448275862068966,0.7586206896551724,1.0,0.6551724137931034,0.6551724137931034,0.6551724137931034,0.0,420,1823,0.6896551724137931,0.896551724137931,0.3103448275862069,397,40,0.7586206896551724,0.6551724137931034,0.5172413793103449,0.36585365853658536,0.12195121951219512,0.1951219512195122,0.25609756097560976,0.2926829268292683,0.0,0.2926829268292683,0.0,10,19,0.8,0.10526315789473684,1.0,0.0,1.0,0.631578947368421,1.0,1.0,0.6,0.6842105263157895,0.6666666666666666,0.6666666666666666,0.6,0.6842105263157895,0.6666666666666666,0.6666666666666666
vt_h2_c3,53,odd,0.6333333333333333,0.8,1.0,1.0,1.0,0.6333333333333333,0.0,423,1823,0.9333333333333333,1.0,0.6333333333333333,398,40,0.9,1.0,0.5333333333333333,0.5060240963855421,0.1686746987951807,0.26506024096385544,0.3855421686746988,0.6385542168674698,0.0,0.6385542168674698,0.0,10,20,1.0,0.45,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
vt_h2_c3,54,even,0.4,0.6,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,420,1823,0.7,0.8666666666666667,0.3,398,40,0.7,1.0,0.4666666666666667,0.3902439024390244,0.08536585365853659,0.1951219512195122,0.24390243902439024,0.3170731707317073,0.0,0.3170731707317073,0.0,10,20,0.8,0.2,1.0,0.3333333333333333,0.7,0.55,1.0,1.0,0.3,0.35,0.3333333333333333,0.3333333333333333,0.3,0.35,0.3333333333333333,0.3333333333333333
