dataset,index,input_sha256,DT,FT,DT_minus_FT,eligible,gold,budget,gold_density,ceiling,random_expected_recall,DT_adjusted,FT_adjusted,DT_precision,FT_precision,DT_tie_width,FT_tie_width,DT_cutoff,gold_negative_fraction,gold_negative_abs_mass,gold_positive_mass,positive_gold_ceiling,target_tokens,judge_true,span_count,boundary_diff_count,gold_boundary_diff_count,relative_conservation_residual,absolute_conservation_residual,signed_recall,signed_tie_width,absolute_recall,absolute_tie_width,negative_recall,negative_tie_width,DT_recall_5,FT_recall_5,DT_recall_20,FT_recall_20,DT_recall_30,FT_recall_30,DT_recall_50,FT_recall_50,DT_recall_gold_budget,FT_recall_gold_budget
niah_mv_v4,81,6648c6642cf86ea2fa2f5e8569a0c9c1a3dcafb435c082ed5796551d3a4c9595,0.2777777777777778,0.1527777777777778,0.125,288,72,29,0.25,0.4027777777777778,0.10069444444444445,0.6896551724137931,0.37931034482758624,0.6896551724137931,0.3793103448275862,0.0,0.0,1.6721937656402588,0.013888888888888888,0.06165386736392975,92.40621948242188,0.4027777777777778,355,True,4,0,0,0.0006400079756960767,0.08766198847990836,0.2777777777777778,0.0,0.2638888888888889,0.0,0.0,0.0,0.1388888888888889,0.08333333333333333,0.5277777777777778,0.4583333333333333,0.7638888888888888,0.7361111111111112,0.9305555555555556,1.0,0.6388888888888888,0.6388888888888888
niah_mv_v4,82,61bef7601580da376b5dad61b1343ca5fdf9490edeb8d7b05359f58dcd3e62c5,0.6973684210526315,0.6710526315789473,0.02631578947368418,861,76,87,0.08826945412311266,1.0,0.10104529616724739,0.6973684210526315,0.6710526315789473,0.6091954022988505,0.5862068965517241,0.0,0.0,0.3973248600959778,0.0,-0.0,80.87409973144531,1.0,326,True,4,0,0,0.000659102790637499,0.08020972219628675,0.6973684210526315,0.0,0.6447368421052632,0.0,0.0,0.0,0.35526315789473684,0.25,0.9473684210526315,0.9342105263157895,0.9868421052631579,0.9868421052631579,1.0,1.0,0.618421052631579,0.5657894736842105
niah_mv_v4,83,796b68a5dbb7ea8ad3e0222c7cdffc878e377994665093072de865b4507c5936,0.7125,0.5875,0.125,867,80,87,0.0922722029988466,1.0,0.10034602076124567,0.7125,0.5875,0.6551724137931034,0.5402298850574713,0.0,0.0,0.6230766177177429,0.0,-0.0,111.40104675292969,1.0,380,True,4,0,0,0.0010065083303040295,0.15759057092955686,0.7125,0.0,0.7,0.0,0.0,0.0,0.3625,0.225,0.975,0.9125,0.9875,0.9875,1.0,0.9875,0.675,0.55
niah_mv_v4,84,19828135cf7b539ed7613c0aa90f17e5ead4827a03944b53335e3d19c23d6a3c,0.6578947368421053,0.6578947368421053,0.0,861,76,87,0.08826945412311266,1.0,0.10104529616724739,0.6578947368421053,0.6578947368421053,0.5747126436781609,0.5747126436781609,0.0,0.0,0.6171621680259705,0.0,-0.0,91.1247329711914,1.0,371,True,4,0,0,0.0013820312853672276,0.24435886858736922,0.6578947368421053,0.0,0.6447368421052632,0.0,0.0,0.0,0.34210526315789475,0.27631578947368424,0.8947368421052632,0.9210526315789473,0.9736842105263158,0.9736842105263158,1.0,1.0,0.5789473684210527,0.5657894736842105
niah_mv_v4,85,015cca9ccfc8f09e2666492b02c26071a89e3f9adf147357dd30a05575d8e2a0,0.23863636363636365,0.13636363636363635,0.10227272727272729,312,88,32,0.28205128205128205,0.36363636363636365,0.10256410256410256,0.65625,0.37499999999999994,0.65625,0.375,0.0,0.0,1.6654810905456543,0.022727272727272728,0.09532934427261353,110.03960418701172,0.36363636363636365,376,True,4,0,0,5.398199623323781e-05,0.008815909833032265,0.23863636363636365,0.0,0.23863636363636365,0.0,0.011363636363636364,0.0,0.11363636363636363,0.07954545454545454,0.5,0.4431818181818182,0.6818181818181818,0.6931818181818182,0.9318181818181818,0.9659090909090909,0.6477272727272727,0.6363636363636364
niah_mv_v4,86,f658111d13f75bd7808bd42efabaedb6112b0e46185d3f04c2b73527bdd4ea8b,0.7638888888888888,0.7361111111111112,0.02777777777777768,855,72,86,0.08421052631578947,1.0,0.10058479532163743,0.7638888888888888,0.7361111111111112,0.6395348837209303,0.6162790697674418,0.0,0.0,0.4165184795856476,0.0,-0.0,89.45912170410156,1.0,384,True,4,0,0,0.002620705368263263,0.3505151409958671,0.7638888888888888,0.0,0.75,0.0,0.0,0.0,0.375,0.2916666666666667,0.9861111111111112,0.9722222222222222,1.0,1.0,1.0,1.0,0.6527777777777778,0.5833333333333334
niah_mv_v4,87,e4b6d9378f8eb7f92f7937b1d3c6646f0ad61edb95437cac825d984167d3355d,0.7,0.6,0.09999999999999998,867,80,87,0.0922722029988466,1.0,0.10034602076124567,0.7,0.6,0.6436781609195402,0.5517241379310345,0.0,0.0,0.4724498987197876,0.0,-0.0,93.39541625976562,1.0,281,True,4,0,0,0.000544655891688751,0.07896011164558558,0.7,0.0,0.675,0.0,0.0,0.0,0.3875,0.25,0.9625,0.9375,1.0,0.9875,1.0,1.0,0.65,0.525
niah_mv_v4,88,1c8e48390cccfae3a7b3ad45cbdb9cf9283dfe845bfec2cdd512de2addc8afe6,0.25,0.15476190476190477,0.09523809523809523,306,84,31,0.27450980392156865,0.36904761904761907,0.10130718954248366,0.6774193548387096,0.41935483870967744,0.6774193548387096,0.41935483870967744,0.0,0.0,1.7017017602920532,0.011904761904761904,0.03905778005719185,95.98506927490234,0.36904761904761907,376,True,4,0,0,0.00034394494309289165,0.04991135549138903,0.25,0.0,0.23809523809523808,0.0,0.0,0.0,0.11904761904761904,0.07142857142857142,0.47619047619047616,0.39285714285714285,0.7023809523809523,0.6666666666666666,0.9642857142857143,0.9285714285714286,0.6547619047619048,0.6071428571428571
niah_mv_v4,89,c3b1c453bd0d871c0c16cec9334fb88feed09af4dedcd37a476576767fd2adca,0.25,0.1527777777777778,0.09722222222222221,288,72,29,0.25,0.4027777777777778,0.10069444444444445,0.6206896551724138,0.37931034482758624,0.6206896551724138,0.3793103448275862,0.0,0.0,1.8334360122680664,0.0,-0.0,91.00590515136719,0.4027777777777778,302,True,4,0,0,7.511805003314163e-05,0.010208200689504565,0.25,0.0,0.25,0.0,0.0,0.0,0.125,0.05555555555555555,0.5277777777777778,0.4305555555555556,0.7222222222222222,0.7361111111111112,0.9861111111111112,0.9722222222222222,0.6527777777777778,0.5416666666666666
niah_mv_v4,90,db799a516e041213043af74ce46d3cc2421ebda5f1c3d1f2213d82b0ac43efde,0.6973684210526315,0.618421052631579,0.07894736842105254,861,76,87,0.08826945412311266,1.0,0.10104529616724739,0.6973684210526315,0.618421052631579,0.6091954022988505,0.5402298850574713,0.0,0.0,0.5090086460113525,0.0,-0.0,87.77948760986328,1.0,303,True,4,0,0,0.00043107368453532754,0.062389750524857845,0.6973684210526315,0.0,0.6842105263157895,0.0,0.0,0.0,0.3684210526315789,0.25,1.0,0.9342105263157895,1.0,0.9868421052631579,1.0,1.0,0.618421052631579,0.5394736842105263
