dataset,subset,count,DT,FT,ceiling,DT_sentence_positive,DT_sentence_absolute,FT_sentence_positive,shuffled_DT_sentence,demo_eligible,scope_start_character,DT_scope,DT_scope_sentence,DT_scope_recomputed_budget,scope_eligible,scope_recomputed_budget,FT_scope,FT_scope_sentence,FT_scope_recomputed_budget,DT_demo_budget_fraction,DT_question_budget_fraction,FT_demo_budget_fraction,FT_question_budget_fraction,DT_sentence_positive_demo_budget_fraction,DT_sentence_positive_question_budget_fraction,DT_sentence_absolute_demo_budget_fraction,DT_sentence_absolute_question_budget_fraction,answer_gold_tokens,other_gold_tokens,DT_answer_recall,DT_other_recall,DT_span_any,DT_span_half,FT_answer_recall,FT_other_recall,FT_span_any,FT_span_half,DT_sentence_positive_answer_recall,DT_sentence_positive_other_recall,DT_sentence_positive_span_any,DT_sentence_positive_span_half,DT_sentence_absolute_answer_recall,DT_sentence_absolute_other_recall,DT_sentence_absolute_span_any,DT_sentence_absolute_span_half,DT_sentence_positive_gain,DT_sentence_positive_ci_low,DT_sentence_positive_ci_high,DT_sentence_positive_wins,DT_sentence_positive_losses,DT_sentence_absolute_gain,DT_sentence_absolute_ci_low,DT_sentence_absolute_ci_high,DT_sentence_absolute_wins,DT_sentence_absolute_losses,DT_scope_gain,DT_scope_ci_low,DT_scope_ci_high,DT_scope_wins,DT_scope_losses,DT_scope_sentence_gain,DT_scope_sentence_ci_low,DT_scope_sentence_ci_high,DT_scope_sentence_wins,DT_scope_sentence_losses
niah_mv_v2,even,50,0.7566663704716337,0.5573854788486368,0.9004463735095314,0.7749257385888965,0.7636041011619958,0.5986234829497987,0.0720608187134503,0.0,0.0,0.7566663704716337,0.7749257385888965,0.7566663704716337,610.54,61.42,0.5573854788486368,0.5986234829497987,0.5573854788486368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.8,0.76,0.7542948162948164,1.0,0.77,0.5899999999999999,0.5363291708291709,1.0,0.54,0.7985714285714286,0.7615508380508382,0.84,0.8,0.7928571428571428,0.7469121434121436,0.81,0.79,0.018259368117262857,-0.0026942530568846326,0.041361096111490844,20,18,0.00693773069036226,-0.013998342826763889,0.030029306220095673,17,23,0.0,0.0,0.0,0,0,0.018259368117262857,-0.0026942530568846326,0.041361096111490844,20,18
niah_mv_v2,odd,50,0.7465329232171338,0.5538505354294828,0.8991828814460393,0.7613449532923218,0.745522062732589,0.5730237335763652,0.11674185463659148,0.0,0.0,0.7465329232171338,0.7613449532923218,0.7465329232171338,599.16,60.3,0.5538505354294828,0.5730237335763652,0.5538505354294828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.72,0.7342857142857143,0.7530567765567766,1.0,0.75,0.58,0.5363338328338328,1.0,0.53,0.7928571428571429,0.7432785547785548,0.82,0.8,0.7771428571428572,0.7272937062937062,0.79,0.78,0.01481203007518796,-0.006614954051796169,0.039617272347535495,14,20,-0.0010108604845447122,-0.018712009189640787,0.02083717627401836,10,26,0.0,0.0,0.0,0,0,0.01481203007518796,-0.006614954051796169,0.039617272347535495,14,20
niah_mv_v4,all,100,0.5752426710716183,0.5158856706159337,0.8284285524417103,0.53003268588137,0.5161869256474518,0.5164719089390143,0.11126557871952608,0.0,0.0,0.5752426710716183,0.53003268588137,0.5752426710716183,704.64,70.99,0.5158856706159337,0.5164719089390143,0.5158856706159337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,49.6,0.7892857142857143,0.454333707958708,0.9725,0.54,0.677142857142857,0.42478841991341987,1.0,0.68,0.5857142857142857,0.4983874458874459,0.6225,0.5525,0.5732142857142857,0.48371378621378625,0.61,0.535,-0.04520998519024835,-0.06101876447748159,-0.030279784451659467,24,63,-0.05905574542416648,-0.07669049660135187,-0.04233374795891244,19,68,0.0,0.0,0.0,0,0,-0.04520998519024835,-0.06101876447748159,-0.030279784451659467,24,63
niah_mv_v4,even,50,0.5774588554720134,0.5229164578111947,0.8277318295739349,0.5381027568922305,0.5229243943191312,0.5281276106934001,0.1346812865497076,0.0,0.0,0.5774588554720134,0.5381027568922305,0.5774588554720134,704.04,70.92,0.5229164578111947,0.5281276106934001,0.5229164578111947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,49.2,0.792857142857143,0.4542944555444555,0.97,0.55,0.6785714285714286,0.43403055278055275,1.0,0.69,0.5864285714285714,0.5104628704628705,0.61,0.565,0.575,0.49303862803862797,0.6,0.545,-0.03935609857978278,-0.059164552005012534,-0.020560515873015873,12,33,-0.05453446115288222,-0.07761043755221386,-0.032927192982456145,10,36,0.0,0.0,0.0,0,0,-0.03935609857978278,-0.059164552005012534,-0.020560515873015873,12,33
niah_mv_v4,odd,50,0.5730264866712235,0.5088548834206729,0.8291252753094858,0.5219626148705095,0.5094494569757727,0.5048162071846282,0.08784987088934457,0.0,0.0,0.5730264866712235,0.5219626148705095,0.5730264866712235,705.24,71.06,0.5088548834206729,0.5048162071846282,0.5088548834206729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,50.0,0.7857142857142857,0.4543729603729604,0.975,0.53,0.6757142857142858,0.41554628704628704,1.0,0.67,0.585,0.4863120213120213,0.635,0.54,0.5714285714285714,0.47438894438894436,0.62,0.525,-0.0510638718007139,-0.07479030246069719,-0.027245294106478336,12,30,-0.06357702969545075,-0.08924565438216753,-0.037751054245462164,9,32,0.0,0.0,0.0,0,0,-0.0510638718007139,-0.07479030246069719,-0.027245294106478336,12,30
niah_mv_v8,all,100,0.24322885338345868,0.2036087330067593,0.3529269053315105,0.22035375844915317,0.21294805669476724,0.17997254025214546,0.09854026163894586,0.0,0.0,0.24322885338345868,0.22035375844915317,0.24322885338345868,538.43,54.27,0.2036087330067593,0.17997254025214546,0.2036087330067593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,99.44,0.40410714285714294,0.15047893772893775,0.77875,0.15625,0.34160714285714283,0.12453700466200467,0.9975,0.06875,0.23392857142857137,0.21244701132201133,0.29,0.22375,0.22767857142857142,0.20439485514485514,0.2825,0.215,-0.02287509493430546,-0.03106588132262474,-0.01533586167122351,32,63,-0.030280796688691426,-0.040297344568808374,-0.021003248889268644,30,65,0.0,0.0,0.0,0,0,-0.02287509493430546,-0.03106588132262474,-0.01533586167122351,32,63
niah_mv_v8,even,50,0.2427158521303258,0.20096151363256623,0.34918453330295435,0.2201735778841042,0.2139893673577884,0.17504366028708135,0.10329627098048151,0.0,0.0,0.2427158521303258,0.2201735778841042,0.2427158521303258,533.86,53.82,0.20096151363256623,0.17504366028708135,0.20096151363256623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,100.32,0.40428571428571425,0.14994909257409256,0.785,0.1575,0.34214285714285714,0.12058021145521146,0.9975,0.0725,0.2325,0.21305731768231767,0.295,0.2225,0.22714285714285715,0.20639065101565102,0.285,0.215,-0.022542274246221617,-0.03242215220817195,-0.012706692868534973,16,32,-0.028726484772537406,-0.04045481839067365,-0.017385146103896097,15,33,0.0,0.0,0.0,0,0,-0.022542274246221617,-0.03242215220817195,-0.012706692868534973,16,32
niah_mv_v8,odd,50,0.24374185463659145,0.20625595238095237,0.3566692773600668,0.22053393901420218,0.21190674603174603,0.1849014202172097,0.09378425229741019,0.0,0.0,0.24374185463659145,0.22053393901420218,0.24374185463659145,543.0,54.72,0.20625595238095237,0.1849014202172097,0.20625595238095237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,98.56,0.40392857142857147,0.15100878288378286,0.7725,0.155,0.3410714285714285,0.1284937978687979,0.9975,0.065,0.23535714285714285,0.21183670496170495,0.285,0.225,0.2282142857142857,0.2023990592740593,0.28,0.215,-0.02320791562238931,-0.03630714024644945,-0.011371217105263157,16,31,-0.03183510860484545,-0.048319734231411865,-0.01719535557644111,15,32,0.0,0.0,0.0,0,0,-0.02320791562238931,-0.03630714024644945,-0.011371217105263157,16,31
vt_h2_c3,all,100,0.5074334124245136,0.6976457114652332,1.0,0.7145790708642488,0.7350176534162908,0.9058303931911412,0.06106458466038554,419.92,1823.0,0.766916991440768,0.9501140420573121,0.4389879522050684,398.18,40.22,0.8003759009524443,0.9692199151320398,0.4794850488468397,0.411328239788422,0.09756244490155744,0.22573464590067593,0.2885116074052307,0.3943799588598295,0.0,0.38196885101381134,0.0,9.4,19.28,0.8646313131313131,0.33443901420217215,1.0,0.5166666666666668,0.8112373737373737,0.643169590643275,1.0,0.9233333333333333,0.7183838383838383,0.7125263157894737,0.7333333333333333,0.7133333333333333,0.7428005050505051,0.731,0.76,0.7333333333333334,0.20714565843973518,0.1671591415406731,0.24719274066572972,83,13,0.22758424099177713,0.18846765086051273,0.2671266345286593,85,12,0.2594835790162542,0.24597266856449282,0.2726572739848984,100,0,0.44268062963279875,0.41443449393245696,0.47005277706190535,100,0
vt_h2_c3,even,50,0.49210063639652063,0.6991833403279454,1.0,0.6821243587706324,0.7027680369315519,0.9148545768078583,0.04530190239867659,420.22,1823.0,0.7575109303830103,0.9526158694846125,0.42655279845602423,398.06,40.18,0.8071169598744683,0.9668226600985221,0.4728779130069453,0.4104349103732,0.09765207170143991,0.2254216867469879,0.2877784307963562,0.39095503967087863,0.0,0.382418454305025,0.0,9.44,19.26,0.8525555555555556,0.3159649122807017,1.0,0.4733333333333333,0.8094292929292929,0.6459298245614035,1.0,0.9466666666666668,0.6805151515151513,0.683093567251462,0.7,0.6733333333333333,0.7005151515151514,0.704093567251462,0.7266666666666667,0.6933333333333332,0.1900237223741117,0.12870218785355048,0.2500787512738569,39,9,0.21066740053503127,0.14776616005528687,0.2702552335430812,41,8,0.26541029398648974,0.24649435724947405,0.2835450778416574,50,0,0.4605152330880917,0.4212140031681745,0.4979138750694368,50,0
