dataset,index,method,rise,mas,recall
niah_mq_q2,43,FT_K1,0.11148648648648647,0.2658994423484471,0.2564102564102564
niah_mq_q2,43,FT_K3,,,0.28205128205128205
niah_mq_q2,44,DT,0.13747002398081537,0.17708431049334689,0.4146341463414634
niah_mq_q2,44,FT_K1,0.12356115107913668,0.259955565159184,0.3170731707317073
niah_mq_q2,44,FT_K3,,,0.3170731707317073
niah_mq_q2,45,DT,0.15678082191780823,0.19895822072242209,0.525
niah_mq_q2,45,FT_K1,0.14582191780821918,0.2663142600738696,0.275
niah_mq_q2,45,FT_K3,,,0.275
niah_mq_q2,46,DT,0.04875690607734806,0.07982182136567537,0.9736842105263158
niah_mq_q2,46,FT_K1,0.05151933701657459,0.24346839377564816,0.7631578947368421
niah_mq_q2,46,FT_K3,,,0.7894736842105263
niah_mq_q2,47,DT,0.051420454545454554,0.07817409059159786,0.9743589743589743
niah_mq_q2,47,FT_K1,0.05113636363636363,0.24858285423864407,0.6666666666666666
niah_mq_q2,47,FT_K3,,,0.7692307692307693
niah_mq_q2,48,DT,0.04602272727272727,0.06922380040733073,1.0
niah_mq_q2,48,FT_K1,0.05,0.22910133360058432,0.8048780487804879
niah_mq_q2,48,FT_K3,,,0.8292682926829268
niah_mq_q2,49,DT,0.06115384615384615,0.08481328679256521,1.0
niah_mq_q2,49,FT_K1,0.0965384615384615,0.24493128762639493,0.7368421052631579
niah_mq_q2,49,FT_K3,,,0.7894736842105263
niah_mq_q2,50,DT,0.14547872340425533,0.1959907946578061,0.4878048780487805
niah_mq_q2,50,FT_K1,0.13191489361702127,0.27168795798567313,0.2926829268292683
niah_mq_q2,50,FT_K3,,,0.3170731707317073
niah_mq_q2,51,DT,0.11944444444444444,0.14735120139283012,0.5365853658536586
niah_mq_q2,51,FT_K1,0.13964646464646463,0.2504366010591761,0.2926829268292683
niah_mq_q2,51,FT_K3,,,0.2682926829268293
niah_mq_q2,52,DT,0.04469696969696969,0.05962542174015584,0.9743589743589743
niah_mq_q2,52,FT_K1,0.04924242424242424,0.243201573245506,0.717948717948718
niah_mq_q2,52,FT_K3,,,0.7692307692307693
niah_mq_q2,53,DT,0.04844497607655503,0.06881882258439108,1.0
niah_mq_q2,53,FT_K1,0.050358851674641145,0.2423557635518839,0.7692307692307693
niah_mq_q2,53,FT_K3,,,0.8461538461538461
niah_mq_q2,54,DT,0.04393333333333334,0.07051324526965128,1.0
niah_mq_q2,54,FT_K1,0.043666666666666666,0.24651091763464125,0.7894736842105263
niah_mq_q2,54,FT_K3,,,0.7894736842105263
niah_mq_q2,55,DT,0.13540723981900454,0.16834820012771218,0.4
niah_mq_q2,55,FT_K1,0.14898190045248869,0.2667021427713426,0.225
niah_mq_q2,55,FT_K3,,,0.25
niah_mq_q2,56,DT,0.1104368932038835,0.1296783211565819,0.4473684210526316
niah_mq_q2,56,FT_K1,0.11529126213592233,0.24210045244390915,0.3157894736842105
niah_mq_q2,56,FT_K3,,,0.34210526315789475
niah_mq_q2,57,DT,0.13119946091644202,0.16875599012808204,0.48717948717948717
niah_mq_q2,57,FT_K1,0.13335579514824797,0.25588455967624946,0.3076923076923077
niah_mq_q2,57,FT_K3,,,0.3076923076923077
niah_mq_q2,58,DT,0.04842857142857142,0.07572647402395949,1.0
niah_mq_q2,58,FT_K1,0.054714285714285694,0.2384663323576627,0.7692307692307693
niah_mq_q2,58,FT_K3,,,0.8461538461538461
niah_mq_q2,59,DT,0.12649253731343285,0.1582686177902778,0.5384615384615384
niah_mq_q2,59,FT_K1,0.11878109452736318,0.26903926717536425,0.3333333333333333
niah_mq_q2,59,FT_K3,,,0.358974358974359
niah_mq_q2,60,DT,0.12893258426966292,0.15074252392455395,0.46511627906976744
niah_mq_q2,60,FT_K1,0.13426966292134832,0.28181406592042335,0.3023255813953488
niah_mq_q2,60,FT_K3,,,0.32558139534883723
niah_mq_q2,61,DT,0.0475071225071225,0.07451804584146818,0.9743589743589743
niah_mq_q2,61,FT_K1,0.05263532763532763,0.23257264371220315,0.7692307692307693
niah_mq_q2,61,FT_K3,,,0.7692307692307693
niah_mq_q2,62,DT,0.045612813370473536,0.06655976197087758,0.9743589743589743
niah_mq_q2,62,FT_K1,0.041991643454038996,0.2457323039806208,0.8461538461538461
niah_mq_q2,62,FT_K3,,,0.8461538461538461
niah_mq_q2,63,DT,0.07166666666666664,0.09862586068470755,0.9743589743589743
niah_mq_q2,63,FT_K1,0.056666666666666664,0.23801020957893101,0.8205128205128205
niah_mq_q2,63,FT_K3,,,0.8461538461538461
niah_mq_q2,64,DT,0.14112903225806453,0.1894234414647209,0.48717948717948717
