dataset,index,method,recall,rise,mas
vt_h2_c3,8,ifr-tokenwise,0.7741935483870968,0.18380000000000002,0.26265394844003437
vt_h2_c3,8,FT_K3,0.6451612903225806,,
vt_h2_c3,9,DT,0.6785714285714286,0.11530470914127425,0.14556284932340766
vt_h2_c3,9,FT_K1,0.6785714285714286,0.15477839335180055,0.22202806552834847
vt_h2_c3,9,ifr-tokenwise,0.7857142857142857,0.17001385041551248,0.23958838670939747
vt_h2_c3,9,FT_K3,0.6785714285714286,,
vt_h2_c3,10,DT,0.7777777777777778,0.16344339622641507,0.23189717134154525
vt_h2_c3,10,FT_K1,0.7777777777777778,0.14150943396226418,0.19890580412483466
vt_h2_c3,10,ifr-tokenwise,0.8148148148148148,0.14457547169811322,0.1919913903884216
vt_h2_c3,10,FT_K3,0.7777777777777778,,
vt_h2_c3,11,DT,0.875,0.09213483146067417,0.11095910067750676
vt_h2_c3,11,FT_K1,0.65625,0.13735955056179774,0.21413066455355217
vt_h2_c3,11,ifr-tokenwise,0.78125,0.15758426966292136,0.23495654595682
vt_h2_c3,11,FT_K3,0.65625,,
vt_h2_c3,12,DT,0.7241379310344828,0.12112625538020087,0.142007387736321
vt_h2_c3,12,FT_K1,0.5517241379310345,0.15340746054519366,0.23208848387411188
vt_h2_c3,12,ifr-tokenwise,0.7241379310344828,0.1678981348637016,0.24253334386148237
vt_h2_c3,12,FT_K3,0.5517241379310345,,
vt_h2_c3,13,DT,0.8214285714285714,0.12008196721311475,0.14163525537491664
vt_h2_c3,13,FT_K1,0.6428571428571429,0.15259562841530055,0.22117136998013395
vt_h2_c3,13,ifr-tokenwise,0.75,0.16448087431693986,0.23444909639486636
vt_h2_c3,13,FT_K3,0.6428571428571429,,
vt_h2_c3,14,DT,0.7857142857142857,0.1097457627118644,0.11763518753132281
vt_h2_c3,14,FT_K1,0.6071428571428571,0.16144067796610168,0.23521728610777
vt_h2_c3,14,ifr-tokenwise,0.75,0.17372881355932202,0.24882414078703657
vt_h2_c3,14,FT_K3,0.6071428571428571,,
vt_h2_c3,15,DT,0.7666666666666667,0.15628078817733992,0.2077868789130468
vt_h2_c3,15,FT_K1,0.6,0.1314039408866995,0.18081072528142803
vt_h2_c3,15,ifr-tokenwise,0.7333333333333333,0.14445812807881772,0.17273741288812391
vt_h2_c3,15,FT_K3,0.6,,
vt_h2_c3,16,DT,0.6551724137931034,0.11362973760932944,0.12419812278601568
vt_h2_c3,16,FT_K1,0.6896551724137931,0.16202623906705538,0.24007591827376995
vt_h2_c3,16,ifr-tokenwise,0.7586206896551724,0.1719387755102041,0.2506983054703019
vt_h2_c3,16,FT_K3,0.6896551724137931,,
vt_h2_c3,17,DT,0.7586206896551724,0.17062211981566822,0.20991863690536766
vt_h2_c3,17,FT_K1,0.6896551724137931,0.14089861751152072,0.20375543086865355
vt_h2_c3,17,ifr-tokenwise,0.7586206896551724,0.1475806451612903,0.18858146090520558
vt_h2_c3,17,FT_K3,0.6896551724137931,,
vt_h2_c3,18,DT,0.8928571428571429,0.1421806167400881,0.1871730409287177
vt_h2_c3,18,FT_K1,0.6785714285714286,0.12279735682819384,0.18463357262361463
vt_h2_c3,18,ifr-tokenwise,0.75,0.1351321585903084,0.17053239783888452
vt_h2_c3,18,FT_K3,0.6785714285714286,,
vt_h2_c3,19,DT,0.896551724137931,0.11385714285714284,0.11956115934317771
vt_h2_c3,19,FT_K1,0.7241379310344828,0.15014285714285713,0.2201286868745827
vt_h2_c3,19,ifr-tokenwise,0.7586206896551724,0.16657142857142856,0.23307133965296525
vt_h2_c3,19,FT_K3,0.7241379310344828,,
vt_h2_c3,20,DT,0.8214285714285714,0.16097285067873301,0.24869479939127342
vt_h2_c3,20,FT_K1,0.7142857142857143,0.1243212669683258,0.2043416339046654
vt_h2_c3,20,ifr-tokenwise,0.7857142857142857,0.1281674208144796,0.1932048693152492
vt_h2_c3,20,FT_K3,0.7142857142857143,,
vt_h2_c3,21,DT,0.76,0.1160112359550562,0.14630121578333605
vt_h2_c3,21,FT_K1,0.6,0.16558988764044943,0.23846639267530967
vt_h2_c3,21,ifr-tokenwise,0.72,0.17879213483146067,0.26316424783788717
vt_h2_c3,21,FT_K3,0.6,,
vt_h2_c3,22,DT,0.8333333333333334,0.14513729977116704,0.19160833550318496
vt_h2_c3,22,FT_K1,0.7333333333333333,0.12866132723112128,0.19632775427359017
vt_h2_c3,22,ifr-tokenwise,0.7666666666666667,0.13003432494279177,0.17361717670910953
vt_h2_c3,22,FT_K3,0.7333333333333333,,
vt_h2_c3,23,DT,0.8,0.13642857142857143,0.16337194991317022
vt_h2_c3,23,FT_K1,0.7333333333333333,0.1540909090909091,0.2278830919513021
vt_h2_c3,23,ifr-tokenwise,0.8333333333333334,0.17357142857142854,0.24261893550355795
vt_h2_c3,23,FT_K3,0.7333333333333333,,
