target_mode,policy,fraction,n,method,recall,f1,spent_all_tokens,excess_over_all_token_budget
full,all_tokens_skip,0.05,48,FT_K1,0.5399305555555555,0.5186011904761905,62.416666666666664,0.0
full,all_tokens_skip,0.05,48,FT_K3,0.5451388888888888,0.5271329365079365,62.416666666666664,0.0
full,all_tokens_skip,0.1,48,DT_target,0.7690972222222222,0.5518879268879269,127.04166666666667,0.0
full,all_tokens_skip,0.1,48,FT_K1,0.7413194444444443,0.5284175315425316,127.33333333333333,0.0
full,all_tokens_skip,0.1,48,FT_K3,0.751736111111111,0.5432984839234839,127.33333333333333,0.0
full,all_tokens_skip,0.2,48,DT_target,0.9184027777777777,0.4270269762916821,257.1666666666667,0.0
full,all_tokens_skip,0.2,48,FT_K1,0.8506944444444445,0.3799193045516575,256.4166666666667,0.0
full,all_tokens_skip,0.2,48,FT_K3,0.8506944444444445,0.381141462023815,256.4375,0.0
full,eligible_skip,0.05,48,DT_target,0.5034722222222222,0.4786706349206349,62.958333333333336,0.6041666666666666
full,eligible_skip,0.05,48,FT_K1,0.5295138888888888,0.495816798941799,63.041666666666664,0.625
full,eligible_skip,0.05,48,FT_K3,0.5399305555555555,0.5093088624338624,62.833333333333336,0.625
full,eligible_skip,0.1,48,DT_target,0.765625,0.5337115430865431,127.39583333333333,0.9166666666666666
full,eligible_skip,0.1,48,FT_K1,0.748263888888889,0.5328652828652829,127.54166666666667,0.6666666666666666
full,eligible_skip,0.1,48,FT_K3,0.7586805555555557,0.5502976190476191,127.4375,0.6458333333333334
full,eligible_skip,0.2,48,DT_target,0.9357638888888888,0.4354719972766648,258.5208333333333,1.25
full,eligible_skip,0.2,48,FT_K1,0.8663194444444445,0.387589485248154,257.6666666666667,1.6041666666666667
full,eligible_skip,0.2,48,FT_K3,0.8663194444444445,0.38942422458289333,257.6666666666667,1.5416666666666667
