index,target_mode,method,pooling,budget_unit,budget_value,budget,all_body_tokens,precision,recall,f1,exact_match,complete_support,true_positive,predicted,gold,spent_all_tokens,unused_all_tokens,selected_sentences,empty_selection,token_recall,fact_recall_ceiling
1,full,FT_K3,positive_mean_eligible,sentences,2,2,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,52,0,2,0,0.5842696629213483,0.6666666666666666
1,full,FT_K3,positive_mean_eligible,sentences,4,4,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,117,0,4,0,1.0,1.0
1,full,FT_K3,positive_mean_eligible,sentences,8,8,1163,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,205,0,8,0,1.0,1.0
2,full,DT_target,signed_sum,all_body_tokens,0.05,60,1183,0.0,0.0,0.0,0.0,0.0,0,0,3,0,60,0,1,0.0,0.6666666666666666
2,full,DT_target,signed_sum,all_body_tokens,0.1,119,1183,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,2,3,3,103,16,3,0,0.65,0.6666666666666666
2,full,DT_target,signed_sum,all_body_tokens,0.2,237,1183,0.6,1.0,0.7499999999999999,0.0,1.0,3,5,3,193,44,5,0,1.0,1.0
2,full,DT_target,signed_sum,sentences,2,2,1183,0.5,0.3333333333333333,0.4,0.0,0.0,1,2,3,86,0,2,0,0.5083333333333333,0.6666666666666666
2,full,DT_target,signed_sum,sentences,4,4,1183,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,2,4,3,151,0,4,0,0.65,1.0
2,full,DT_target,signed_sum,sentences,8,8,1183,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,356,0,8,0,1.0,1.0
2,full,DT_target,positive_mean_eligible,all_body_tokens,0.05,60,1183,0.0,0.0,0.0,0.0,0.0,0,0,3,0,60,0,1,0.0,0.6666666666666666
2,full,DT_target,positive_mean_eligible,all_body_tokens,0.1,119,1183,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,2,3,3,103,16,3,0,0.65,0.6666666666666666
2,full,DT_target,positive_mean_eligible,all_body_tokens,0.2,237,1183,0.42857142857142855,1.0,0.6,0.0,1.0,3,7,3,227,10,7,0,1.0,1.0
2,full,DT_target,positive_mean_eligible,sentences,2,2,1183,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,78,0,2,0,0.65,0.6666666666666666
2,full,DT_target,positive_mean_eligible,sentences,4,4,1183,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,2,4,3,126,0,4,0,0.65,1.0
2,full,DT_target,positive_mean_eligible,sentences,8,8,1183,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,252,0,8,0,1.0,1.0
2,full,FT_K1,signed_sum,all_body_tokens,0.05,60,1183,0.0,0.0,0.0,0.0,0.0,0,0,3,0,60,0,1,0.0,0.6666666666666666
2,full,FT_K1,signed_sum,all_body_tokens,0.1,119,1183,0.5,0.3333333333333333,0.4,0.0,0.0,1,2,3,105,14,2,0,0.5083333333333333,0.6666666666666666
2,full,FT_K1,signed_sum,all_body_tokens,0.2,237,1183,0.4,0.6666666666666666,0.5,0.0,0.0,2,5,3,208,29,5,0,0.65,1.0
2,full,FT_K1,signed_sum,sentences,2,2,1183,0.5,0.3333333333333333,0.4,0.0,0.0,1,2,3,105,0,2,0,0.5083333333333333,0.6666666666666666
2,full,FT_K1,signed_sum,sentences,4,4,1183,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,2,4,3,167,0,4,0,0.65,1.0
2,full,FT_K1,signed_sum,sentences,8,8,1183,0.25,0.6666666666666666,0.36363636363636365,0.0,0.0,2,8,3,317,0,8,0,0.65,1.0
