index,target_mode,method,all_body_tokens,eligible_body_tokens,omitted_tokens,signed_body_sum,positive_body_sum,negative_body_sum
0,answer_conditioned,FT_K1,2883,2659,224,2.131665930253803,2.131665930253803,0.0
0,answer_conditioned,FT_K3,2883,2659,224,2.161504611489363,2.161504611489363,0.0
1,answer_conditioned,DT_target,1163,1066,97,0.5558684529411375,3.226207347107761,-2.6703388941666235
1,answer_conditioned,FT_K1,1163,1066,97,1.241052189758193,1.241052189758193,0.0
1,answer_conditioned,FT_K3,1163,1066,97,1.222023015616287,1.222023015616287,0.0
2,answer_conditioned,DT_target,1183,1079,104,-1.0581649432933107,3.337739591232836,-4.395904534526147
2,answer_conditioned,FT_K1,1183,1079,104,10.644818989152554,10.644818989152554,0.0
2,answer_conditioned,FT_K3,1183,1079,104,10.458892770286184,10.458892770286184,0.0
3,answer_conditioned,DT_target,945,845,100,0.7635317028022953,1.7769011741799718,-1.0133694713776764
3,answer_conditioned,FT_K1,945,845,100,8.670742820308078,8.670742820308078,0.0
3,answer_conditioned,FT_K3,945,845,100,8.349010439531412,8.349010439531412,0.0
4,answer_conditioned,DT_target,1184,1080,104,3.8557786632179902,5.7794021026910904,-1.9236234394731004
4,answer_conditioned,FT_K1,1184,1080,104,2.908766927284887,2.908766927284887,0.0
4,answer_conditioned,FT_K3,1184,1080,104,2.935373991756933,2.935373991756933,0.0
5,answer_conditioned,DT_target,1747,1558,189,0.2515071276824149,4.969091266060136,-4.717584138377722
5,answer_conditioned,FT_K1,1747,1558,189,6.03374037607864,6.03374037607864,0.0
5,answer_conditioned,FT_K3,1747,1558,189,5.892006014008075,5.892006014008075,0.0
6,answer_conditioned,DT_target,1247,1134,113,3.1671192625664206,10.88842134412052,-7.7213020815541
6,answer_conditioned,FT_K1,1247,1134,113,1.2209803314617602,1.2209803314617602,0.0
6,answer_conditioned,FT_K3,1247,1134,113,1.1974466162137105,1.1974466162137105,0.0
7,answer_conditioned,DT_target,1032,912,120,2.5021851458824402,4.573049948960698,-2.0708648030782575
7,answer_conditioned,FT_K1,1032,912,120,1.4570243649941403,1.4570243649941403,0.0
7,answer_conditioned,FT_K3,1032,912,120,1.4401846648252103,1.4401846648252103,0.0
8,answer_conditioned,DT_target,706,649,57,0.13671493186990102,4.2635902488302575,-4.126875316960357
8,answer_conditioned,FT_K1,706,649,57,9.986784497392364,9.986784497392364,0.0
8,answer_conditioned,FT_K3,706,649,57,9.666272146743722,9.666272146743722,0.0
9,answer_conditioned,DT_target,975,879,96,5.506224289094186,7.145398311130902,-1.6391740220367153
9,answer_conditioned,FT_K1,975,879,96,1.2227797673767782,1.2227797673767782,0.0
9,answer_conditioned,FT_K3,975,879,96,1.2790196833084337,1.2790196833084337,0.0
10,answer_conditioned,DT_target,1289,1182,107,0.3248691184527297,4.302136704486018,-3.9772675860332876
10,answer_conditioned,FT_K1,1289,1182,107,7.138866785913706,7.138866785913706,0.0
10,answer_conditioned,FT_K3,1289,1182,107,7.2742568285320885,7.2742568285320885,0.0
11,answer_conditioned,DT_target,862,788,74,-0.9565846686647191,2.8477300410875532,-3.8043147097522727
11,answer_conditioned,FT_K1,862,788,74,16.070527533302084,16.070527533302084,0.0
11,answer_conditioned,FT_K3,862,788,74,15.977308802772313,15.977308802772313,0.0
12,answer_conditioned,DT_target,1903,1745,158,1.3420970631136502,6.5120142128326055,-5.169917149718955
12,answer_conditioned,FT_K1,1903,1745,158,12.765628330409527,12.765628330409527,0.0
12,answer_conditioned,FT_K3,1903,1745,158,12.309001126413932,12.309001126413932,0.0
13,answer_conditioned,DT_target,1733,1586,147,-3.252854533963644,0.43981689273895935,-3.6926714267026037
13,answer_conditioned,FT_K1,1733,1586,147,1.6798421863350086,1.6798421863350086,0.0
13,answer_conditioned,FT_K3,1733,1586,147,1.6022518026948092,1.6022518026948092,0.0
14,answer_conditioned,DT_target,1331,1140,191,1.5504798341519381,3.1297621131029967,-1.5792822789510588
14,answer_conditioned,FT_K1,1331,1140,191,14.544179710443132,14.544179710443132,0.0
14,answer_conditioned,FT_K3,1331,1140,191,13.999900998198427,13.999900998198427,0.0
15,answer_conditioned,DT_target,1244,1077,167,5.08158185641953,6.733122053172551,-1.6515401967530197
15,answer_conditioned,FT_K1,1244,1077,167,2.7364016011852073,2.7364016011852073,0.0
15,answer_conditioned,FT_K3,1244,1077,167,2.6746893146046204,2.6746893146046204,0.0
16,answer_conditioned,DT_target,972,891,81,1.127959347898242,3.08025766366245,-1.952298315764208
16,answer_conditioned,FT_K1,972,891,81,1.2617753462764085,1.2617753462764085,0.0
16,answer_conditioned,FT_K3,972,891,81,1.3230507063635741,1.3230507063635741,0.0
17,answer_conditioned,DT_target,931,862,69,0.5562945478312854,1.9159269929417895,-1.359632445110504
17,answer_conditioned,FT_K1,931,862,69,4.584184158564312,4.584184158564312,0.0
17,answer_conditioned,FT_K3,931,862,69,4.3726198615913745,4.3726198615913745,0.0
18,answer_conditioned,DT_target,1341,1233,108,0.6092413201825628,4.552031260925549,-3.9427899407429865
18,answer_conditioned,FT_K1,1341,1233,108,8.425248251121957,8.425248251121957,0.0
18,answer_conditioned,FT_K3,1341,1233,108,8.016661604255205,8.016661604255205,0.0
19,answer_conditioned,DT_target,939,805,134,-0.972957606713325,3.47852161189137,-4.451479218604695
19,answer_conditioned,FT_K1,939,805,134,0.8256010947297909,0.8256010947297909,0.0
19,answer_conditioned,FT_K3,939,805,134,0.8510701768755098,0.8510701768755098,0.0
20,answer_conditioned,DT_target,1141,1026,115,3.5659978389099614,6.673792488234204,-3.1077946493242434
20,answer_conditioned,FT_K1,1141,1026,115,0.8415552964579547,0.8415552964579547,0.0
20,answer_conditioned,FT_K3,1141,1026,115,0.8773189186940726,0.8773189186940726,0.0
