target_mode,pooling,budget_unit,budget_value,n,method,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_all_tokens,unused_all_tokens,selected_sentences,empty_selection
answer_conditioned,signed_sum,sentences,8,48,DT_target,0.15364583333333334,0.4739583333333333,0.22910353535353536,0.0,0.2708333333333333,0.47640617873362423,1.0,284.2916666666667,0.0,8.0,0.0
answer_conditioned,signed_sum,sentences,8,48,FT_K1,0.23177083333333334,0.75,0.34974747474747475,0.0,0.4791666666666667,0.7779306132958324,1.0,349.6041666666667,0.0,8.0,0.0
answer_conditioned,signed_sum,sentences,8,48,FT_K3,0.2421875,0.782986111111111,0.36534090909090916,0.0,0.5208333333333334,0.8125110981185499,1.0,346.7291666666667,0.0,8.0,0.0
full,positive_mean_eligible,all_body_tokens,0.05,48,DT_target,0.6357638888888889,0.4618055555555555,0.5043154761904761,0.0625,0.10416666666666667,0.40420910549235184,0.65625,46.854166666666664,18.666666666666668,1.8125,0.10416666666666667
full,positive_mean_eligible,all_body_tokens,0.05,48,FT_K1,0.7100694444444443,0.5069444444444444,0.553125,0.020833333333333332,0.125,0.44197274395868624,0.65625,47.854166666666664,17.666666666666668,1.7916666666666667,0.10416666666666667
full,positive_mean_eligible,all_body_tokens,0.05,48,FT_K3,0.689236111111111,0.49652777777777773,0.5392361111111111,0.020833333333333332,0.125,0.44448619623849367,0.65625,47.8125,17.708333333333332,1.7708333333333333,0.125
full,positive_mean_eligible,all_body_tokens,0.1,48,DT_target,0.5578718734968735,0.7638888888888888,0.6082545926295927,0.0625,0.4375,0.7221581032747384,0.9305555555555555,115.10416666666667,15.458333333333334,4.041666666666667,0.0
full,positive_mean_eligible,all_body_tokens,0.1,48,FT_K1,0.5440310846560846,0.7291666666666666,0.5810575998075999,0.08333333333333333,0.3958333333333333,0.6820948476920252,0.9305555555555555,113.95833333333333,16.604166666666668,4.020833333333333,0.0
full,positive_mean_eligible,all_body_tokens,0.1,48,FT_K3,0.5598875661375661,0.7465277777777777,0.5983826358826358,0.08333333333333333,0.4375,0.7184020173593982,0.9305555555555555,115.79166666666667,14.770833333333334,3.9583333333333335,0.0
full,positive_mean_eligible,all_body_tokens,0.2,48,DT_target,0.3306663414200179,0.9184027777777777,0.4679944226783472,0.0,0.7708333333333334,0.8970169716633704,1.0,242.4375,18.083333333333332,8.208333333333334,0.0
full,positive_mean_eligible,all_body_tokens,0.2,48,FT_K1,0.2965840659097238,0.8506944444444445,0.4241310772560773,0.0,0.625,0.8165592267123326,1.0,239.02083333333334,21.5,8.354166666666666,0.0
