dataset,index,method,target_mode,aggregation,view,budget_unit,fraction,eligible,gold,budget,gold_density,ceiling,random_expected_recall,recall,precision,ceiling_adjusted_recall,cutoff,cutoff_tie_size,recall_tie_low,recall_tie_high,all_body_tokens,f1,exact_match,complete_support,true_positive,predicted,token_recall,spent_tokens,unused_tokens,selected_sentences,empty_selection,fact_recall_ceiling
vt_h2_c3,11,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,335,32,34,0.0955223880597015,1.0,0.10149253731343283,0.8125,0.7647058823529411,0.8125,0.13517090678215027,1,0.8125,0.8125,,,,,,,,,,,,
vt_h2_c3,12,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,335,29,34,0.08656716417910448,1.0,0.10149253731343283,0.896551724137931,0.7647058823529411,0.896551724137931,0.15135923027992249,1,0.896551724137931,0.896551724137931,,,,,,,,,,,,
vt_h2_c3,13,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,332,28,34,0.08433734939759036,1.0,0.10240963855421686,0.8571428571428571,0.7058823529411765,0.8571428571428571,0.0717044249176979,1,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,
vt_h2_c3,14,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,338,30,34,0.08875739644970414,1.0,0.10059171597633136,0.7666666666666667,0.6764705882352942,0.7666666666666667,0.197767436504364,1,0.7666666666666667,0.7666666666666667,,,,,,,,,,,,
vt_h2_c3,15,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,338,30,34,0.08875739644970414,1.0,0.10059171597633136,0.9,0.7941176470588235,0.9,0.13332878053188324,1,0.9,0.9,,,,,,,,,,,,
vt_h2_c3,16,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,339,29,34,0.0855457227138643,1.0,0.10029498525073746,0.8275862068965517,0.7058823529411765,0.8275862068965517,0.15050724148750305,1,0.8275862068965517,0.8275862068965517,,,,,,,,,,,,
vt_h2_c3,17,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,332,29,34,0.08734939759036145,1.0,0.10240963855421686,0.8620689655172413,0.7352941176470589,0.8620689655172413,0.16961589455604553,1,0.8620689655172413,0.8620689655172413,,,,,,,,,,,,
vt_h2_c3,18,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,336,28,34,0.08333333333333333,1.0,0.10119047619047619,0.8928571428571429,0.7352941176470589,0.8928571428571429,0.10125748813152313,1,0.8928571428571429,0.8928571428571429,,,,,,,,,,,,
vt_h2_c3,19,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,336,29,34,0.08630952380952381,1.0,0.10119047619047619,0.896551724137931,0.7647058823529411,0.896551724137931,0.10260868072509766,1,0.896551724137931,0.896551724137931,,,,,,,,,,,,
vt_h2_c3,20,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,28,34,0.08459214501510574,1.0,0.1027190332326284,0.7857142857142857,0.6470588235294118,0.7857142857142857,0.14226587116718292,1,0.7857142857142857,0.7857142857142857,,,,,,,,,,,,
vt_h2_c3,21,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,26,33,0.0790273556231003,1.0,0.10030395136778116,0.8076923076923077,0.6363636363636364,0.8076923076923077,0.11847171932458878,1,0.8076923076923077,0.8076923076923077,,,,,,,,,,,,
vt_h2_c3,22,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,30,33,0.0911854103343465,1.0,0.10030395136778116,0.8333333333333334,0.7575757575757576,0.8333333333333334,0.09400135278701782,1,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,
vt_h2_c3,23,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,30,34,0.09063444108761329,1.0,0.1027190332326284,1.0,0.8823529411764706,1.0,0.08845627307891846,1,1.0,1.0,,,,,,,,,,,,
vt_h2_c3,24,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,30,34,0.09009009009009009,1.0,0.1021021021021021,0.8333333333333334,0.7352941176470589,0.8333333333333334,0.14358147978782654,1,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,
vt_h2_c3,25,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,335,27,34,0.08059701492537313,1.0,0.10149253731343283,0.7777777777777778,0.6176470588235294,0.7777777777777778,0.13145506381988525,1,0.7777777777777778,0.7777777777777778,,,,,,,,,,,,
vt_h2_c3,26,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,334,30,34,0.08982035928143713,1.0,0.10179640718562874,0.9666666666666667,0.8529411764705882,0.9666666666666667,0.0923847109079361,1,0.9666666666666667,0.9666666666666667,,,,,,,,,,,,
vt_h2_c3,27,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,339,29,34,0.0855457227138643,1.0,0.10029498525073746,0.8275862068965517,0.7058823529411765,0.8275862068965517,0.12499702721834183,1,0.8275862068965517,0.8275862068965517,,,,,,,,,,,,
vt_h2_c3,28,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,26,33,0.0790273556231003,1.0,0.10030395136778116,0.8846153846153846,0.696969696969697,0.8846153846153846,0.08294525742530823,1,0.8846153846153846,0.8846153846153846,,,,,,,,,,,,
vt_h2_c3,29,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,27,33,0.08181818181818182,1.0,0.1,0.7407407407407407,0.6060606060606061,0.7407407407407407,0.1546328216791153,1,0.7407407407407407,0.7407407407407407,,,,,,,,,,,,
vt_h2_c3,30,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,332,28,34,0.08433734939759036,1.0,0.10240963855421686,0.75,0.6176470588235294,0.75,0.07137233763933182,1,0.75,0.75,,,,,,,,,,,,
vt_h2_c3,31,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,339,30,34,0.08849557522123894,1.0,0.10029498525073746,0.8666666666666667,0.7647058823529411,0.8666666666666667,0.17518682777881622,1,0.8666666666666667,0.8666666666666667,,,,,,,,,,,,
vt_h2_c3,32,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,337,30,34,0.08902077151335312,1.0,0.10089020771513353,0.7666666666666667,0.6764705882352942,0.7666666666666667,0.16547325253486633,1,0.7666666666666667,0.7666666666666667,,,,,,,,,,,,
vt_h2_c3,33,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,332,29,34,0.08734939759036145,1.0,0.10240963855421686,0.8620689655172413,0.7352941176470589,0.8620689655172413,0.15194100141525269,1,0.8620689655172413,0.8620689655172413,,,,,,,,,,,,
vt_h2_c3,34,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,26,33,0.07878787878787878,1.0,0.1,0.8846153846153846,0.696969696969697,0.8846153846153846,0.08341757208108902,1,0.8846153846153846,0.8846153846153846,,,,,,,,,,,,
vt_h2_c3,35,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,334,30,34,0.08982035928143713,1.0,0.10179640718562874,0.9333333333333333,0.8235294117647058,0.9333333333333333,0.15550324320793152,1,0.9333333333333333,0.9333333333333333,,,,,,,,,,,,
vt_h2_c3,36,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,28,34,0.08408408408408409,1.0,0.1021021021021021,0.8571428571428571,0.7058823529411765,0.8571428571428571,0.25396499037742615,1,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,
vt_h2_c3,37,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,338,31,34,0.09171597633136094,1.0,0.10059171597633136,0.7741935483870968,0.7058823529411765,0.7741935483870968,0.21524086594581604,1,0.7741935483870968,0.7741935483870968,,,,,,,,,,,,
vt_h2_c3,38,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,28,34,0.08459214501510574,1.0,0.1027190332326284,0.8571428571428571,0.7058823529411765,0.8571428571428571,0.1710406243801117,1,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,
vt_h2_c3,39,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,332,28,34,0.08433734939759036,1.0,0.10240963855421686,0.7857142857142857,0.6470588235294118,0.7857142857142857,0.12622074782848358,1,0.7857142857142857,0.7857142857142857,,,,,,,,,,,,
vt_h2_c3,40,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,337,29,34,0.08605341246290801,1.0,0.10089020771513353,0.8275862068965517,0.7058823529411765,0.8275862068965517,0.11642901599407196,1,0.8275862068965517,0.8275862068965517,,,,,,,,,,,,
vt_h2_c3,41,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,332,32,34,0.0963855421686747,1.0,0.10240963855421686,0.84375,0.7941176470588235,0.84375,0.1271195113658905,1,0.84375,0.84375,,,,,,,,,,,,
