run,family,attr_func,candidate_mode,phase,repeat,target_input_tokens,actual_total_tokens,status,time_sec,peak_allocated_gb,peak_mem_reserved_gb,runner_init_seconds,input_sha256,error
cast_boundaries_pilot,qwen3,deltatrace_retained,retained,measured,8,128,158,ok,0.3025670051574707,16.734127616,16.802381824,0.0012909173965454102,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,retained,measured,9,128,158,ok,0.2979567050933838,16.734127616,16.802381824,0.0012324433773756027,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,root_rope,measured,10,128,158,ok,0.18272137641906738,18.565862912,18.704498688,0.0012458506971597672,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundaries_pilot,qwen3,deltatrace_retained,root_cast,measured,11,128,158,ok,0.1733391284942627,18.54074624,18.702401536,0.0012744292616844177,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundary_audit,qwen3,deltatrace_retained,retained,warm,0,128,158,ok,5.038394451141357,16.734127616,16.802381824,0.0012264121323823929,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundary_audit,qwen3,deltatrace_retained,root_rope,warm,1,128,158,ok,2.7314460277557373,18.565862912,18.704498688,0.0013455357402563095,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundary_audit,qwen3,deltatrace_retained,root_cast,warm,2,128,158,ok,2.2855539321899414,18.54074624,18.702401536,0.0011988487094640732,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundary_audit,qwen3,deltatrace_retained,retained,measured,3,128,158,ok,0.29094433784484863,16.734127616,16.802381824,0.0012535080313682556,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundary_audit,qwen3,deltatrace_retained,root_rope,measured,4,128,158,ok,0.18606305122375488,18.565862912,18.704498688,0.0012959036976099014,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
cast_boundary_audit,qwen3,deltatrace_retained,root_cast,measured,5,128,158,ok,0.17336297035217285,18.54074624,18.702401536,0.001272561028599739,a002b2c300403d22f024d37a8eb24b2994dfd672408380e860bb7cd6fb8d31bd,
