model,scope,name,status,allocated_before,seconds,peak_allocated,peak_reserved,new_compiled_graphs,compiler_events_seconds_inclusive
qwen3,main,niah_mq_q2_14_original_FT_K3,returned,16449694720,1.2171075455844402,21147517952,24400363520,0,{}
qwen3,main,niah_mq_q2_15_DT,returned,16449674752,0.7178754583001137,17985972736,24836571136,0,{}
qwen3,main,niah_mq_q2_15_DT_positive_original_metrics,returned,16449674752,2.443109717220068,16886665728,24836571136,0,{}
qwen3,main,niah_mq_q2_15_original_FT_K1,returned,16449674752,0.5930515006184578,18569417728,24836571136,0,{}
qwen3,main,niah_mq_q2_15_FT_K1_original_metrics,returned,16449674752,2.4503305815160275,16886665728,24836571136,0,{}
qwen3,main,niah_mq_q2_15_original_FT_K3,returned,16449674752,0.9708761312067509,18569417728,24836571136,0,{}
qwen3,main,niah_mq_q2_16_DT,returned,16449672704,0.722414817661047,17752310272,24836571136,0,{}
qwen3,main,niah_mq_q2_16_DT_positive_original_metrics,returned,16449672704,2.309641622006893,16842904576,24836571136,0,{}
qwen3,main,niah_mq_q2_16_original_FT_K1,returned,16449672704,0.5473344139754772,18269986816,24836571136,0,{}
qwen3,main,niah_mq_q2_16_FT_K1_original_metrics,returned,16449672704,2.3115397468209267,16842904576,24836571136,0,{}
qwen3,main,niah_mq_q2_16_original_FT_K3,returned,16449672704,0.8679544106125832,18269986816,24836571136,0,{}
qwen3,main,niah_mq_q2_17_DT,returned,16449672704,0.7286870889365673,17742582784,24836571136,0,{}
qwen3,main,niah_mq_q2_17_DT_positive_original_metrics,returned,16449672704,2.1123592853546143,16843511808,24836571136,0,{}
qwen3,main,niah_mq_q2_17_original_FT_K1,returned,16449672704,0.5369195118546486,18275305472,24836571136,0,{}
qwen3,main,niah_mq_q2_17_FT_K1_original_metrics,returned,16449672704,2.0953755229711533,16843511808,24836571136,0,{}
qwen3,main,niah_mq_q2_17_original_FT_K3,returned,16449672704,0.8710382506251335,18275305472,24836571136,0,{}
qwen3,main,niah_mq_q2_18_DT,returned,16449695744,1.2463877350091934,18783980032,24836571136,0,{}
qwen3,main,niah_mq_q2_18_DT_positive_original_metrics,returned,16449695744,4.695585086941719,17209415168,24836571136,0,{}
qwen3,main,niah_mq_q2_18_original_FT_K1,returned,16449695744,0.7985085733234882,21555983360,24836571136,0,{}
qwen3,main,niah_mq_q2_18_FT_K1_original_metrics,returned,16449695744,4.710717853158712,17209415168,24836571136,0,{}
qwen3,main,niah_mq_q2_18_original_FT_K3,returned,16449695744,1.2837450839579105,21555983360,24836571136,0,{}
qwen3,main,niah_mq_q2_19_DT,returned,16449672704,0.6799430325627327,17768826368,24836571136,0,{}
qwen3,main,niah_mq_q2_19_DT_positive_original_metrics,returned,16449672704,2.1891574636101723,16847158272,24836571136,0,{}
qwen3,main,niah_mq_q2_19_original_FT_K1,returned,16449672704,0.5043554194271564,18298563584,24836571136,0,{}
qwen3,main,niah_mq_q2_19_FT_K1_original_metrics,returned,16449672704,2.1841222792863846,16847158272,24836571136,0,{}
qwen3,main,niah_mq_q2_19_original_FT_K3,returned,16449672704,0.8000800311565399,18298563584,24836571136,0,{}
